date 	prec 	tmin 	tmax
19800101	0.00	21.10	30.30
19800102	0.00	20.90	30.20
19800103	0.00	21.20	30.30
19800104	0.00	21.70	30.60
19800105	0.00	21.60	29.80
19800106	0.00	22.00	30.50
19800107	0.00	22.30	30.10
19800108	6.10	22.70	30.00
19800109	0.00	22.50	30.00
19800110	0.00	22.40	29.70
19800111	0.00	22.50	30.00
19800112	0.00	22.10	30.10
19800113	13.30	21.30	29.80
19800114	9.20	21.40	29.80
19800115	0.00	21.40	29.90
19800116	0.00	21.20	29.90
19800117	0.00	21.30	29.70
19800118	0.00	21.60	30.40
19800119	0.00	21.20	29.40
19800120	0.00	20.60	30.00
19800121	0.00	20.00	30.00
19800122	0.00	20.00	29.70
19800123	0.00	19.20	29.60
19800124	0.00	19.20	29.20
19800125	0.00	19.90	29.10
19800126	0.00	20.30	30.30
19800127	0.00	20.50	30.60
19800128	0.00	19.10	31.00
19800129	0.00	18.70	30.20
19800130	0.00	19.50	30.50
19800131	0.00	20.30	30.40
19800201	0.00	20.90	28.80
19800202	9.30	21.00	28.50
19800203	0.00	20.90	28.70
19800204	0.00	19.90	29.00
19800205	0.00	19.60	29.20
19800206	0.00	19.40	29.40
19800207	0.00	20.90	29.60
19800208	0.00	21.50	29.70
19800209	0.00	22.10	29.30
19800210	0.00	21.30	29.70
19800211	0.00	21.50	30.40
19800212	0.00	22.10	30.70
19800213	0.00	22.20	29.70
19800214	0.00	22.20	30.20
19800215	0.00	22.20	30.40
19800216	0.00	22.00	31.20
19800217	0.00	21.70	31.80
19800218	0.00	21.40	31.80
19800219	0.00	20.90	31.90
19800220	0.00	20.80	31.00
19800221	0.00	21.00	31.20
19800222	0.00	20.50	31.80
19800223	0.00	20.50	33.00
19800224	0.00	21.50	33.70
19800225	0.00	21.60	32.70
19800226	0.00	20.80	33.50
19800227	0.00	20.90	34.10
19800228	0.00	21.50	34.80
19800229	0.00	23.20	34.20
19800301	0.00	23.00	32.50
19800302	0.00	23.70	34.00
19800303	0.00	21.10	32.90
19800304	0.00	21.10	32.50
19800305	0.00	21.60	33.20
19800306	0.00	22.80	33.40
19800307	0.00	22.90	32.50
19800308	0.00	22.60	30.90
19800309	0.00	22.60	31.60
19800310	2.90	23.50	30.80
19800311	0.00	23.90	32.30
19800312	22.00	21.00	33.00
19800313	0.00	21.00	32.30
19800314	6.40	22.40	30.90
19800315	6.50	21.90	30.80
19800316	0.00	22.00	33.60
19800317	3.90	23.40	33.80
19800318	7.10	23.50	33.20
19800319	0.00	21.80	33.90
19800320	0.00	21.60	32.50
19800321	0.00	21.80	33.20
19800322	0.00	21.90	34.30
19800323	0.00	23.70	35.30
19800324	0.00	24.10	34.50
19800325	0.00	23.50	33.20
19800326	0.00	22.60	34.40
19800327	0.00	22.70	33.70
19800328	0.00	24.60	34.60
19800329	0.00	24.60	32.80
19800330	0.00	24.20	31.00
19800331	0.00	25.10	30.80
19800401	0.00	24.00	33.30
19800402	0.00	24.20	36.40
19800403	0.00	25.00	35.70
19800404	4.10	24.80	33.90
19800405	15.20	24.30	32.20
19800406	7.40	24.30	34.80
19800407	11.10	24.40	29.80
19800408	7.40	24.70	34.80
19800409	0.00	24.80	37.40
19800410	0.00	24.90	30.20
19800411	0.00	24.90	30.80
19800412	0.00	24.80	29.50
19800413	0.00	24.80	30.80
19800414	0.00	24.70	32.20
19800415	1.70	24.30	36.00
19800416	38.50	23.80	31.90
19800417	23.20	24.00	34.10
19800418	13.50	24.90	35.30
19800419	45.00	25.20	29.70
19800420	8.60	25.00	30.60
19800421	18.10	24.50	30.10
19800422	7.20	24.60	28.80
19800423	0.00	24.50	29.90
19800424	6.10	24.70	30.10
19800425	4.00	24.40	30.00
19800426	0.00	24.50	30.10
19800427	0.00	24.50	29.50
19800428	0.00	24.50	29.50
19800429	5.10	24.20	29.10
19800430	21.10	23.90	29.60
19800501	0.00	24.70	33.10
19800502	0.90	24.70	31.30
19800503	0.00	24.50	32.90
19800504	0.00	24.80	32.50
19800505	0.00	25.30	32.30
19800506	0.00	25.50	33.80
19800507	0.00	25.80	32.40
19800508	0.00	25.80	31.40
19800509	5.10	25.20	31.40
19800510	1.40	25.50	31.10
19800511	0.00	25.70	32.20
19800512	7.50	25.40	32.40
19800513	7.10	25.20	32.50
19800514	1.10	25.30	31.00
19800515	17.90	25.60	30.70
19800516	3.90	25.30	30.10
19800517	2.80	25.10	30.10
19800518	0.00	25.30	30.20
19800519	0.00	25.30	30.80
19800520	0.00	25.40	32.00
19800521	0.00	25.50	30.80
19800522	0.00	25.60	30.80
