date ,prec ,tmin ,tmax,tmean,srad
19800101,0.00,21.10,30.30,25.70,17.90
19800102,0.00,20.90,30.20,25.55,20.10
19800103,0.00,21.20,30.30,25.75,19.80
19800104,0.00,21.70,30.60,26.15,16.80
19800105,0.00,21.60,29.80,25.70,14.30
19800106,0.00,22.00,30.50,26.25,20.00
19800107,0.00,22.30,30.10,26.20,17.40
19800108,6.10,22.70,30.00,26.35,18.40
19800109,0.00,22.50,30.00,26.25,15.80
19800110,0.00,22.40,29.70,26.05,9.50
19800111,0.00,22.50,30.00,26.25,13.50
19800112,0.00,22.10,30.10,26.10,17.00
19800113,13.30,21.30,29.80,25.55,17.40
19800114,9.20,21.40,29.80,25.60,19.60
19800115,0.00,21.40,29.90,25.65,21.50
19800116,0.00,21.20,29.90,25.55,22.80
19800117,0.00,21.30,29.70,25.50,15.60
19800118,0.00,21.60,30.40,26.00,17.30
19800119,0.00,21.20,29.40,25.30,18.80
19800120,0.00,20.60,30.00,25.30,17.00
19800121,0.00,20.00,30.00,25.00,17.90
19800122,0.00,20.00,29.70,24.85,19.40
19800123,0.00,19.20,29.60,24.40,19.70
19800124,0.00,19.20,29.20,24.20,23.30
19800125,0.00,19.90,29.10,24.50,24.20
19800126,0.00,20.30,30.30,25.30,23.10
19800127,0.00,20.50,30.60,25.55,19.30
19800128,0.00,19.10,31.00,25.05,22.00
19800129,0.00,18.70,30.20,24.45,24.80
19800130,0.00,19.50,30.50,25.00,22.10
19800131,0.00,20.30,30.40,25.35,25.00
19800201,0.00,20.90,28.80,24.85,19.30
19800202,9.30,21.00,28.50,24.75,20.00
19800203,0.00,20.90,28.70,24.80,22.20
19800204,0.00,19.90,29.00,24.45,22.60
19800205,0.00,19.60,29.20,24.40,23.30
19800206,0.00,19.40,29.40,24.40,23.30
19800207,0.00,20.90,29.60,25.25,22.90
19800208,0.00,21.50,29.70,25.60,22.00
19800209,0.00,22.10,29.30,25.70,19.90
19800210,0.00,21.30,29.70,25.50,23.60
19800211,0.00,21.50,30.40,25.95,22.00
19800212,0.00,22.10,30.70,26.40,23.20
19800213,0.00,22.20,29.70,25.95,20.80
19800214,0.00,22.20,30.20,26.20,20.10
19800215,0.00,22.20,30.40,26.30,13.90
19800216,0.00,22.00,31.20,26.60,20.30
19800217,0.00,21.70,31.80,26.75,22.30
19800218,0.00,21.40,31.80,26.60,23.90
19800219,0.00,20.90,31.90,26.40,24.80
19800220,0.00,20.80,31.00,25.90,25.00
19800221,0.00,21.00,31.20,26.10,24.40
19800222,0.00,20.50,31.80,26.15,25.30
19800223,0.00,20.50,33.00,26.75,24.90
19800224,0.00,21.50,33.70,27.60,26.00
19800225,0.00,21.60,32.70,27.15,25.80
19800226,0.00,20.80,33.50,27.15,26.30
19800227,0.00,20.90,34.10,27.50,25.70
19800228,0.00,21.50,34.80,28.15,26.80
19800229,0.00,23.20,34.20,28.70,25.90
19800301,0.00,23.00,32.50,27.75,24.40
19800302,0.00,23.70,34.00,28.85,24.50
19800303,0.00,21.10,32.90,27.00,25.20
19800304,0.00,21.10,32.50,26.80,25.40
19800305,0.00,21.60,33.20,27.40,26.10
19800306,0.00,22.80,33.40,28.10,23.90
19800307,0.00,22.90,32.50,27.70,20.70
19800308,0.00,22.60,30.90,26.75,23.50
19800309,0.00,22.60,31.60,27.10,20.80
19800310,2.90,23.50,30.80,27.15,21.00
19800311,0.00,23.90,32.30,28.10,23.20
19800312,22.00,21.00,33.00,27.00,24.10
19800313,0.00,21.00,32.30,26.65,25.60
19800314,6.40,22.40,30.90,26.65,23.60
19800315,6.50,21.90,30.80,26.35,23.10
19800316,0.00,22.00,33.60,27.80,24.90
19800317,3.90,23.40,33.80,28.60,23.40
19800318,7.10,23.50,33.20,28.35,23.10
19800319,0.00,21.80,33.90,27.85,24.20
19800320,0.00,21.60,32.50,27.05,26.70
19800321,0.00,21.80,33.20,27.50,26.10
19800322,0.00,21.90,34.30,28.10,27.40
19800323,0.00,23.70,35.30,29.50,25.50
19800324,0.00,24.10,34.50,29.30,24.30
19800325,0.00,23.50,33.20,28.35,24.30
19800326,0.00,22.60,34.40,28.50,25.70
19800327,0.00,22.70,33.70,28.20,26.70
19800328,0.00,24.60,34.60,29.60,24.90
19800329,0.00,24.60,32.80,28.70,21.20
19800330,0.00,24.20,31.00,27.60,19.40
19800331,0.00,25.10,30.80,27.95,19.10
19800401,0.00,24.00,33.30,28.65,22.00
19800402,0.00,24.20,36.40,30.30,25.50
19800403,0.00,25.00,35.70,30.35,24.90
19800404,4.10,24.80,33.90,29.35,23.60
19800405,15.20,24.30,32.20,28.25,19.00
19800406,7.40,24.30,34.80,29.55,21.70
19800407,11.10,24.40,29.80,27.10,14.90
19800408,7.40,24.70,34.80,29.75,22.00
19800409,0.00,24.80,37.40,31.10,25.50
19800410,0.00,24.90,30.20,27.55,17.10
19800411,0.00,24.90,30.80,27.85,12.90
19800412,0.00,24.80,29.50,27.15,12.30
19800413,0.00,24.80,30.80,27.80,16.30
19800414,0.00,24.70,32.20,28.45,16.90
19800415,1.70,24.30,36.00,30.15,23.30
19800416,38.50,23.80,31.90,27.85,18.60
19800417,23.20,24.00,34.10,29.05,20.50
19800418,13.50,24.90,35.30,30.10,25.10
19800419,45.00,25.20,29.70,27.45,14.80
19800420,8.60,25.00,30.60,27.80,14.50
19800421,18.10,24.50,30.10,27.30,16.40
19800422,7.20,24.60,28.80,26.70,14.00
19800423,0.00,24.50,29.90,27.20,17.60
19800424,6.10,24.70,30.10,27.40,14.80
19800425,4.00,24.40,30.00,27.20,15.40
19800426,0.00,24.50,30.10,27.30,16.10
19800427,0.00,24.50,29.50,27.00,13.10
19800428,0.00,24.50,29.50,27.00,14.20
19800429,5.10,24.20,29.10,26.65,13.30
19800430,21.10,23.90,29.60,26.75,14.60
19800501,0.00,24.70,33.10,28.90,19.60
19800502,0.90,24.70,31.30,28.00,20.30
19800503,0.00,24.50,32.90,28.70,24.90
19800504,0.00,24.80,32.50,28.65,24.80
19800505,0.00,25.30,32.30,28.80,23.60
19800506,0.00,25.50,33.80,29.65,23.40
19800507,0.00,25.80,32.40,29.10,20.50
19800508,0.00,25.80,31.40,28.60,17.60
19800509,5.10,25.20,31.40,28.30,18.10
19800510,1.40,25.50,31.10,28.30,12.80
19800511,0.00,25.70,32.20,28.95,20.10
19800512,7.50,25.40,32.40,28.90,19.90
19800513,7.10,25.20,32.50,28.85,19.40
19800514,1.10,25.30,31.00,28.15,15.30
19800515,17.90,25.60,30.70,28.15,15.30
19800516,3.90,25.30,30.10,27.70,13.50
19800517,2.80,25.10,30.10,27.60,14.80
19800518,0.00,25.30,30.20,27.75,14.30
19800519,0.00,25.30,30.80,28.05,19.10
19800520,0.00,25.40,32.00,28.70,20.20
19800521,0.00,25.50,30.80,28.15,17.10
19800522,0.00,25.60,30.80,28.20,18.50
19800523,0.00,25.50,30.60,28.05,18.90
19800524,0.70,25.30,31.10,28.20,19.50
19800525,1.00,25.20,29.50,27.35,13.90
19800526,0.00,25.20,30.50,27.85,16.00
19800527,0.00,25.10,29.70,27.40,12.00
19800528,0.00,24.90,29.00,26.95,12.10
19800529,9.20,24.80,29.10,26.95,16.30
19800530,6.10,25.00,29.20,27.10,13.30
19800531,5.90,24.80,28.50,26.65,12.60
19800601,5.50,25.20,30.00,27.60,15.90
19800602,4.80,25.40,29.50,27.45,14.40
19800603,2.30,25.00,30.10,27.55,19.60
19800604,0.00,25.10,30.10,27.60,15.10
19800605,0.30,25.00,29.40,27.20,15.30
19800606,0.00,25.00,31.60,28.30,23.70
19800607,0.00,25.10,30.60,27.85,16.30
19800608,3.90,25.20,30.10,27.65,14.10
19800609,2.00,25.40,29.80,27.60,11.50
19800610,0.00,25.30,30.40,27.85,11.90
19800611,0.00,25.20,31.90,28.55,21.90
19800612,0.00,25.20,31.50,28.35,18.30
19800613,0.00,25.50,30.40,27.95,13.40
19800614,0.00,25.50,31.20,28.35,17.10
19800615,0.00,25.50,30.40,27.95,15.50
19800616,0.00,25.20,30.20,27.70,14.40
19800617,0.00,25.30,31.20,28.25,18.00
19800618,0.00,25.40,31.20,28.30,20.80
19800619,0.00,25.30,30.80,28.05,18.40
19800620,1.20,25.40,30.80,28.10,17.50
19800621,0.70,24.80,29.40,27.10,11.40
19800622,0.00,24.90,30.50,27.70,15.10
19800623,0.00,25.20,30.50,27.85,14.20
19800624,0.00,25.10,30.10,27.60,11.80
19800625,0.00,24.70,32.00,28.35,24.00
19800626,0.60,24.50,30.50,27.50,19.60
19800627,0.30,24.60,30.80,27.70,16.90
19800628,0.00,24.90,30.70,27.80,16.00
19800629,0.00,25.30,31.20,28.25,17.60
19800630,1.00,25.10,30.20,27.65,14.90
19800701,0.00,25.60,31.30,28.45,15.00
19800702,0.00,25.50,31.40,28.45,16.40
19800703,0.00,25.30,33.30,29.30,22.30
19800704,0.00,25.10,32.20,28.65,18.10
19800705,0.00,25.10,31.70,28.40,16.20
19800706,0.00,25.40,31.10,28.25,13.40
19800707,0.00,25.30,31.50,28.40,18.50
19800708,2.90,25.20,31.20,28.20,15.80
19800709,1.10,25.20,31.00,28.10,13.60
19800710,1.10,25.20,31.00,28.10,16.90
19800711,1.20,25.10,30.30,27.70,13.00
19800712,2.70,25.00,29.60,27.30,11.90
19800713,0.00,25.00,30.50,27.75,14.10
19800714,0.00,24.60,30.30,27.45,13.70
19800715,0.00,24.70,31.10,27.90,19.00
19800716,0.00,24.90,30.50,27.70,12.80
19800717,0.00,24.60,29.70,27.15,14.20
19800718,0.00,24.80,30.90,27.85,18.80
19800719,0.00,24.70,30.40,27.55,14.30
19800720,0.00,24.80,31.40,28.10,19.70
19800721,1.90,24.70,31.80,28.25,19.40
19800722,1.90,24.80,30.50,27.65,13.80
19800723,1.70,24.90,30.50,27.70,14.90
19800724,1.00,24.80,30.30,27.55,13.90
19800725,1.60,24.00,30.80,27.40,18.70
19800726,0.00,24.00,31.40,27.70,19.70
19800727,0.00,24.20,31.10,27.65,20.90
19800728,0.00,24.20,31.80,28.00,20.30
19800729,1.50,24.50,30.50,27.50,16.60
19800730,2.00,24.20,29.80,27.00,13.00
19800731,0.00,24.50,30.20,27.35,12.30
19800801,0.00,24.40,29.60,27.00,14.00
19800802,0.00,24.60,30.60,27.60,17.50
19800803,0.00,24.70,30.30,27.50,16.10
19800804,0.00,24.50,30.60,27.55,15.80
19800805,0.00,24.10,30.90,27.50,20.30
19800806,0.00,24.10,30.30,27.20,20.00
19800807,0.00,24.30,30.30,27.30,21.20
19800808,0.00,24.40,29.90,27.15,18.30
19800809,0.00,24.40,29.80,27.10,16.60
19800810,0.00,24.50,29.30,26.90,14.30
19800811,0.00,24.40,29.70,27.05,14.30
19800812,2.40,24.20,30.80,27.50,19.60
19800813,5.30,24.20,30.70,27.45,21.30
19800814,3.20,24.20,30.80,27.50,19.20
19800815,2.20,24.40,29.00,26.70,14.50
19800816,5.90,24.10,28.30,26.20,10.70
19800817,1.20,24.10,30.80,27.45,22.10
19800818,3.70,23.90,30.00,26.95,20.00
19800819,1.70,23.70,29.60,26.65,15.10
19800820,1.20,23.80,30.10,26.95,17.60
19800821,0.00,24.30,30.00,27.15,15.20
19800822,0.80,24.40,30.50,27.45,20.10
19800823,0.00,24.60,31.10,27.85,17.90
19800824,0.00,24.50,31.30,27.90,19.40
19800825,0.00,24.30,30.30,27.30,16.30
19800826,0.00,24.30,30.60,27.45,18.60
19800827,0.00,24.30,29.90,27.10,17.00
19800828,0.00,24.40,30.40,27.40,17.90
19800829,0.00,24.20,29.40,26.80,13.30
19800830,4.30,23.80,29.60,26.70,16.10
19800831,0.90,24.10,30.70,27.40,19.80
19800901,0.00,23.90,29.40,26.65,18.90
19800902,0.00,23.90,30.10,27.00,22.60
19800903,0.00,24.00,29.60,26.80,22.20
19800904,0.00,24.00,30.70,27.35,24.30
19800905,0.00,24.10,30.40,27.25,21.30
19800906,1.90,24.30,29.40,26.85,15.40
19800907,0.00,24.10,30.00,27.05,18.60
19800908,0.00,24.10,29.80,26.95,17.20
