date ,prec ,tmin ,tmax,srad
19800101,0,21.1,30.3,17.9
19800102,0,20.9,30.2,20.1
19800103,0,21.2,30.3,19.8
19800104,0,21.7,30.6,16.8
19800105,0,21.6,29.8,14.3
19800106,0,22,30.5,20
19800107,0,22.3,30.1,17.4
19800108,6.1,22.7,30,18.4
19800109,0,22.5,30,15.8
19800110,0,22.4,29.7,9.5
19800111,0,22.5,30,13.5
19800112,0,22.1,30.1,17
19800113,13.3,21.3,29.8,17.4
19800114,9.2,21.4,29.8,19.6
19800115,0,21.4,29.9,21.5
19800116,0,21.2,29.9,22.8
19800117,0,21.3,29.7,15.6
19800118,0,21.6,30.4,17.3
19800119,0,21.2,29.4,18.8
19800120,0,20.6,30,17
19800121,0,20,30,17.9
19800122,0,20,29.7,19.4
19800123,0,19.2,29.6,19.7
19800124,0,19.2,29.2,23.3
19800125,0,19.9,29.1,24.2
19800126,0,20.3,30.3,23.1
19800127,0,20.5,30.6,19.3
19800128,0,19.1,31,22
19800129,0,18.7,30.2,24.8
19800130,0,19.5,30.5,22.1
19800131,0,20.3,30.4,25
19800201,0,20.9,28.8,19.3
19800202,9.3,21,28.5,20
19800203,0,20.9,28.7,22.2
19800204,0,19.9,29,22.6
19800205,0,19.6,29.2,23.3
19800206,0,19.4,29.4,23.3
19800207,0,20.9,29.6,22.9
19800208,0,21.5,29.7,22
19800209,0,22.1,29.3,19.9
19800210,0,21.3,29.7,23.6
19800211,0,21.5,30.4,22
19800212,0,22.1,30.7,23.2
19800213,0,22.2,29.7,20.8
19800214,0,22.2,30.2,20.1
19800215,0,22.2,30.4,13.9
19800216,0,22,31.2,20.3
19800217,0,21.7,31.8,22.3
19800218,0,21.4,31.8,23.9
19800219,0,20.9,31.9,24.8
19800220,0,20.8,31,25
19800221,0,21,31.2,24.4
19800222,0,20.5,31.8,25.3
19800223,0,20.5,33,24.9
19800224,0,21.5,33.7,26
19800225,0,21.6,32.7,25.8
19800226,0,20.8,33.5,26.3
19800227,0,20.9,34.1,25.7
19800228,0,21.5,34.8,26.8
19800229,0,23.2,34.2,25.9
19800301,0,23,32.5,24.4
19800302,0,23.7,34,24.5
19800303,0,21.1,32.9,25.2
19800304,0,21.1,32.5,25.4
