date ,prec ,tmin ,tmax
19800101,0,21.1,30.3
19800102,0,20.9,30.2
19800103,0,21.2,30.3
19800104,0,21.7,30.6
19800105,0,21.6,29.8
19800106,0,22,30.5
19800107,0,22.3,30.1
19800108,6.1,22.7,30
19800109,0,22.5,30
19800110,0,22.4,29.7
19800111,0,22.5,30
19800112,0,22.1,30.1
19800113,13.3,21.3,29.8
19800114,9.2,21.4,29.8
19800115,0,21.4,29.9
19800116,0,21.2,29.9
19800117,0,21.3,29.7
19800118,0,21.6,30.4
19800119,0,21.2,29.4
19800120,0,20.6,30
19800121,0,20,30
19800122,0,20,29.7
19800123,0,19.2,29.6
19800124,0,19.2,29.2
19800125,0,19.9,29.1
19800126,0,20.3,30.3
19800127,0,20.5,30.6
19800128,0,19.1,31
19800129,0,18.7,30.2
19800130,0,19.5,30.5
19800131,0,20.3,30.4
19800201,0,20.9,28.8
19800202,9.3,21,28.5
19800203,0,20.9,28.7
19800204,0,19.9,29
19800205,0,19.6,29.2
19800206,0,19.4,29.4
19800207,0,20.9,29.6
19800208,0,21.5,29.7
19800209,0,22.1,29.3
19800210,0,21.3,29.7
19800211,0,21.5,30.4
19800212,0,22.1,30.7
19800213,0,22.2,29.7
19800214,0,22.2,30.2
19800215,0,22.2,30.4
19800216,0,22,31.2
19800217,0,21.7,31.8
19800218,0,21.4,31.8
19800219,0,20.9,31.9
19800220,0,20.8,31
19800221,0,21,31.2
19800222,0,20.5,31.8
19800223,0,20.5,33
19800224,0,21.5,33.7
19800225,0,21.6,32.7
19800226,0,20.8,33.5
19800227,0,20.9,34.1
19800228,0,21.5,34.8
19800229,0,23.2,34.2
19800301,0,23,32.5
19800302,0,23.7,34
19800303,0,21.1,32.9
19800304,0,21.1,32.5
19800305,0,21.6,33.2
19800306,0,22.8,33.4
19800307,0,22.9,32.5
19800308,0,22.6,30.9
19800309,0,22.6,31.6
19800310,2.9,23.5,30.8
19800311,0,23.9,32.3
19800312,22,21,33
19800313,0,21,32.3
19800314,6.4,22.4,30.9
19800315,6.5,21.9,30.8
19800316,0,22,33.6
19800317,3.9,23.4,33.8
19800318,7.1,23.5,33.2
19800319,0,21.8,33.9
19800320,0,21.6,32.5
19800321,0,21.8,33.2
19800322,0,21.9,34.3
19800323,0,23.7,35.3
19800324,0,24.1,34.5
19800325,0,23.5,33.2
19800326,0,22.6,34.4
19800327,0,22.7,33.7
19800328,0,24.6,34.6
19800329,0,24.6,32.8
19800330,0,24.2,31
19800331,0,25.1,30.8
19800401,0,24,33.3
19800402,0,24.2,36.4
19800403,0,25,35.7
19800404,4.1,24.8,33.9
19800405,15.2,24.3,32.2
19800406,7.4,24.3,34.8
19800407,11.1,24.4,29.8
19800408,7.4,24.7,34.8
19800409,0,24.8,37.4
19800410,0,24.9,30.2
19800411,0,24.9,30.8
19800412,0,24.8,29.5
19800413,0,24.8,30.8
19800414,0,24.7,32.2
19800415,1.7,24.3,36
19800416,38.5,23.8,31.9
19800417,23.2,24,34.1
19800418,13.5,24.9,35.3
19800419,45,25.2,29.7
19800420,8.6,25,30.6
19800421,18.1,24.5,30.1
19800422,7.2,24.6,28.8
19800423,0,24.5,29.9
19800424,6.1,24.7,30.1
19800425,4,24.4,30
19800426,0,24.5,30.1
19800427,0,24.5,29.5
19800428,0,24.5,29.5
19800429,5.1,24.2,29.1
19800430,21.1,23.9,29.6
19800501,0,24.7,33.1
19800502,0.9,24.7,31.3
19800503,0,24.5,32.9
19800504,0,24.8,32.5
19800505,0,25.3,32.3
19800506,0,25.5,33.8
19800507,0,25.8,32.4
19800508,0,25.8,31.4
19800509,5.1,25.2,31.4
19800510,1.4,25.5,31.1
19800511,0,25.7,32.2
19800512,7.5,25.4,32.4
19800513,7.1,25.2,32.5
19800514,1.1,25.3,31
19800515,17.9,25.6,30.7
19800516,3.9,25.3,30.1
19800517,2.8,25.1,30.1
19800518,0,25.3,30.2
19800519,0,25.3,30.8
19800520,0,25.4,32
19800521,0,25.5,30.8
19800522,0,25.6,30.8
19800523,0,25.5,30.6
19800524,0.7,25.3,31.1
19800525,1,25.2,29.5
19800526,0,25.2,30.5
19800527,0,25.1,29.7
19800528,0,24.9,29
19800529,9.2,24.8,29.1
19800530,6.1,25,29.2
19800531,5.9,24.8,28.5
19800601,5.5,25.2,30
19800602,4.8,25.4,29.5
19800603,2.3,25,30.1
19800604,0,25.1,30.1
19800605,0.3,25,29.4
19800606,0,25,31.6
19800607,0,25.1,30.6
19800608,3.9,25.2,30.1
19800609,2,25.4,29.8
19800610,0,25.3,30.4
19800611,0,25.2,31.9
19800612,0,25.2,31.5
19800613,0,25.5,30.4
19800614,0,25.5,31.2
19800615,0,25.5,30.4
19800616,0,25.2,30.2
19800617,0,25.3,31.2
19800618,0,25.4,31.2
19800619,0,25.3,30.8
19800620,1.2,25.4,30.8
19800621,0.7,24.8,29.4
19800622,0,24.9,30.5
19800623,0,25.2,30.5
19800624,0,25.1,30.1
19800625,0,24.7,32
19800626,0.6,24.5,30.5
19800627,0.3,24.6,30.8
19800628,0,24.9,30.7
19800629,0,25.3,31.2
19800630,1,25.1,30.2
19800701,0,25.6,31.3
19800702,0,25.5,31.4
19800703,0,25.3,33.3
19800704,0,25.1,32.2
19800705,0,25.1,31.7
19800706,0,25.4,31.1
19800707,0,25.3,31.5
19800708,2.9,25.2,31.2
19800709,1.1,25.2,31
19800710,1.1,25.2,31
19800711,1.2,25.1,30.3
19800712,2.7,25,29.6
19800713,0,25,30.5
19800714,0,24.6,30.3
19800715,0,24.7,31.1
19800716,0,24.9,30.5
19800717,0,24.6,29.7
19800718,0,24.8,30.9
19800719,0,24.7,30.4
19800720,0,24.8,31.4
19800721,1.9,24.7,31.8
19800722,1.9,24.8,30.5
19800723,1.7,24.9,30.5
19800724,1,24.8,30.3
19800725,1.6,24,30.8
19800726,0,24,31.4
19800727,0,24.2,31.1
19800728,0,24.2,31.8
19800729,1.5,24.5,30.5
19800730,2,24.2,29.8
19800731,0,24.5,30.2
19800801,0,24.4,29.6
19800802,0,24.6,30.6
19800803,0,24.7,30.3
19800804,0,24.5,30.6
19800805,0,24.1,30.9
19800806,0,24.1,30.3
19800807,0,24.3,30.3
19800808,0,24.4,29.9
19800809,0,24.4,29.8
19800810,0,24.5,29.3
19800811,0,24.4,29.7
19800812,2.4,24.2,30.8
19800813,5.3,24.2,30.7
19800814,3.2,24.2,30.8
19800815,2.2,24.4,29
19800816,5.9,24.1,28.3
19800817,1.2,24.1,30.8
19800818,3.7,23.9,30
19800819,1.7,23.7,29.6
19800820,1.2,23.8,30.1
19800821,0,24.3,30
19800822,0.8,24.4,30.5
19800823,0,24.6,31.1
19800824,0,24.5,31.3
19800825,0,24.3,30.3
19800826,0,24.3,30.6
19800827,0,24.3,29.9
19800828,0,24.4,30.4
19800829,0,24.2,29.4
19800830,4.3,23.8,29.6
19800831,0.9,24.1,30.7
19800901,0,23.9,29.4
19800902,0,23.9,30.1
19800903,0,24,29.6
19800904,0,24,30.7
19800905,0,24.1,30.4
19800906,1.9,24.3,29.4
19800907,0,24.1,30
19800908,0,24.1,29.8
19800909,0,23.8,30.4
19800910,0,23.9,29.5
19800911,0,23.8,29.2
19800912,0,23.8,30.1
19800913,0,24.1,30.3
19800914,0,23.7,30.7
19800915,0,23.7,32
19800916,0,23.7,29.6
19800917,0,23.4,31.7
19800918,0,23.4,32.9
19800919,0,23.9,31.1
19800920,0,23.8,31.5
19800921,1.4,23.8,30.5
19800922,2.7,23.7,30.8
19800923,9.6,23.5,29.2
19800924,2.9,23.7,29.4
19800925,20.9,23.3,29.5
19800926,14.7,22.5,28.4
19800927,4.5,22.6,29.5
19800928,1.6,23.6,28.2
19800929,1.8,24,28.1
19800930,4.5,23.9,28.8
19801001,3,23.9,28.5
19801002,0,23.9,29.5
19801003,0,23.8,29.6
19801004,0,24.1,30.5
19801005,0,23.9,29.7
19801006,0,24.1,30.3
19801007,0,24.5,29.8
19801008,13.2,24.3,30.3
19801009,25.6,23.5,28.5
19801010,3.8,23.5,29.4
19801011,4,23.4,28.8
19801012,0,23.5,28.5
19801013,2.5,23.4,29.6
19801014,0,23.5,29.5
19801015,6.1,23.6,29.1
19801016,5.6,23.5,29
19801017,22.7,23.5,28.7
19801018,2.5,23.6,30.9
19801019,0,24.1,31.7
19801020,0,24,31.3
19801021,0,24.1,31.7
19801022,0,23.6,31
19801023,2.2,23.1,31.2
19801024,2.5,23.5,31.9
19801025,20.4,24.1,30.5
19801026,2.9,23.9,29.9
19801027,0,23.5,31.6
19801028,18,23.5,31.8
19801029,38.3,22.9,30.9
19801030,0,22.6,31.9
19801031,0,22.8,32.2
19801101,0,22.6,31.3
19801102,0,23,29.4
19801103,9.3,22.8,30.8
19801104,0,22.4,32
19801105,2.3,22.3,30.7
19801106,0,22.5,30.2
19801107,0,23,31.9
19801108,0,22.6,30.8
19801109,0,21.6,31.4
19801110,4.3,21.4,31.5
19801111,6.3,23.4,28.6
19801112,13,23.5,28.9
19801113,2.5,22.9,29.5
19801114,5.1,23.1,28.2
19801115,41.5,23.4,28.3
19801116,15,24.2,29.4
19801117,2.9,23.7,29.8
19801118,1.9,23.3,29.7
19801119,0,22.7,30.5
19801120,0,22.5,30.8
19801121,2,23.1,30.3
19801122,6,23,30
19801123,4.9,23,29.2
19801124,2.9,22.2,30.8
19801125,19.1,22.1,30.4
19801126,26,23.1,28.3
19801127,16.2,22.3,28.1
19801128,0,22.2,27.6
19801129,40.5,22.6,28.9
19801130,25.7,22.3,30.4
19801201,8.2,22.8,29.9
19801202,0,22.5,28.5
19801203,0,22.6,28.4
19801204,0,22.2,28.7
19801205,22.2,22.3,29.9
19801206,2,23.1,28.2
19801207,4.6,23,29.6
19801208,7.7,23.3,29.3
19801209,0,23.8,31.2
19801210,4.3,23.3,30.4
19801211,14.3,23.3,30.1
19801212,12.3,22.8,29.7
19801213,7.9,22.3,30.9
19801214,2.7,22.1,30.5
19801215,0,22.1,30.7
19801216,0,22.5,30.3
19801217,0,23.3,30
19801218,3.4,24.1,28.7
19801219,0,23.5,29.4
19801220,0,21.4,28.5
19801221,0,20.5,28.8
19801222,0,20.5,29.6
19801223,0,20.5,30.3
19801224,0,22.2,30.9
19801225,0,22.7,30.9
19801226,0,22.3,30.4
19801227,0,22.2,30.6
19801228,0,21.9,30
19801229,0,21.6,30.3
19801230,0,21.8,30.1
19801231,2,23,28.9
19810101,10.6,23.2,27.3
19810102,18.7,23.1,28.7
19810103,30.6,22.4,27.5
19810104,9.3,21.8,28.8
19810105,1.8,20.9,29.2
19810106,0,19.3,29.1
19810107,0,18.8,29
19810108,0,18.5,29
19810109,0,20.2,28.7
19810110,0,20.2,28.6
19810111,0,20,28.8
19810112,0,20.3,29.9
19810113,0,20.8,29.5
19810114,0,20.8,29.9
19810115,0,22.4,29.9
19810116,5.3,21.9,29.4
19810117,1,21.6,29.1
19810118,0,21.6,29.7
19810119,0,21.5,30
19810120,0,21.4,29.7
19810121,0,20.9,29.4
19810122,0,20.6,29.3
19810123,0,19.8,29.4
19810124,0,19.8,30.1
19810125,0,20.7,30.1
19810126,0,20.9,29.7
19810127,0,21.5,29.8
19810128,0,21.5,29.3
19810129,0,21.3,29.4
19810130,0,20.5,29.1
19810131,0,19.6,29.8
19810201,0,19,29.8
19810202,0,18.9,30.2
19810203,0,18.7,30.2
19810204,0,20.8,29.9
19810205,15.6,22.2,28.3
19810206,11.3,22.6,27.4
19810207,9.6,22.4,27.7
19810208,1.7,22.5,28.7
19810209,0,22.2,29.9
19810210,0,21.9,31
19810211,0,21.8,31.4
19810212,0,20.7,31.2
19810213,0,20.3,30.3
19810214,0,19.8,30.6
19810215,0,19.8,29.7
19810216,0,19.9,29.3
19810217,0,18.9,30.1
19810218,0,18.8,29.7
19810219,0,19.9,30.2
19810220,0,19.9,30.7
19810221,0,19.9,30.4
19810222,0,20.7,30.2
19810223,0,21.5,30.7
19810224,0,22.1,31
19810225,0,22.2,30.3
19810226,0,22.1,31.9
19810227,0,23,31.7
19810228,0,22.8,31.8
19810301,0,21.8,31.8
19810302,0,21.6,31.1
19810303,0,22.6,30.4
19810304,0,22.1,31.2
19810305,0,22.5,30.8
19810306,0,23.1,29.8
19810307,0,23.2,30.4
19810308,0,23.6,29.7
19810309,6.1,23,30.6
19810310,0,22,32.6
19810311,0,21.9,32.3
19810312,0,22.3,32.1
19810313,0,22.8,32.3
19810314,4,23.5,31.3
19810315,0,23.4,31.1
19810316,0,22.2,31.6
19810317,0,22.3,33.3
19810318,0,22.5,33.6
19810319,0,23.5,34.6
19810320,0,23.5,34.8
19810321,0,23.7,34.1
19810322,0,24.6,35
19810323,0,25,34.6
19810324,3,25.1,33.7
19810325,8.3,25.1,31.6
19810326,9.2,24.8,32.2
19810327,0,23.5,34.8
19810328,0,23.9,34.6
19810329,4.9,25.4,31.4
19810330,18.5,25.1,33.6
19810331,6.5,24.9,34.9
19810401,0,24.4,29.5
19810402,0,24.1,34.8
19810403,0,24.6,34.1
19810404,0,23.4,32.3
19810405,0,23.5,31.3
19810406,21.7,23.6,31.2
19810407,30.2,23.7,31.3
19810408,10.2,23.5,31.3
19810409,0,23.5,31
19810410,47.3,23.6,30.5
19810411,13.2,23.7,31.1
19810412,8.3,23.9,29.6
19810413,6.7,23.5,29.4
19810414,0,23.9,30
19810415,0,23.7,30.6
19810416,0,23.6,32.1
19810417,0,23.9,31.4
19810418,0,24.1,30.5
19810419,0,23.6,30.2
19810420,0,23.7,30.2
19810421,0,23.7,30.2
19810422,0,24,30.2
19810423,0,23.8,30.2
19810424,5.8,23.7,31.1
19810425,3.7,24.3,32.2
19810426,0,24.6,33.4
19810427,0,24.7,32.8
19810428,0,24,32.1
19810429,2.5,25,31.8
19810430,5.1,25.2,31.8
19810501,23.7,25.9,32
19810502,0,25.7,32.8
19810503,0,25.6,34.1
19810504,0,25.6,33.1
19810505,4.6,24.6,32.9
19810506,0,24.3,31.9
19810507,0,24.5,30.9
19810508,0,24.5,30.5
19810509,0,24.8,30.7
19810510,3.7,24.9,29.6
19810511,3.5,24.1,28.8
19810512,8.8,24.1,29.3
19810513,0,24.6,30
19810514,0,25.4,30.3
19810515,0,25.5,30
19810516,0,25.1,30.2
19810517,0,25.2,30.7
19810518,0,25.1,30.3
19810519,0,25.1,30.7
19810520,0,25.3,29.5
19810521,0,25.1,30.3
19810522,0,25.1,30.6
19810523,0,24.9,30.4
19810524,8.8,24.9,29.3
19810525,8.3,24.8,30.4
19810526,3,25,31.2
19810527,0,24.8,31.2
19810528,42.7,24.9,31.3
19810529,36.2,24.1,29.6
19810530,6.4,24.1,29.1
19810531,0,24.8,29.8
19810601,0,24.9,29.5
19810602,0,24.9,29.7
19810603,0,24.9,29.9
19810604,0,24.8,30.4
19810605,0,24.5,29.9
19810606,0,24.6,30.1
19810607,2.3,24.7,29
19810608,3,24.5,29.6
19810609,4.5,24.5,28.9
19810610,3,24.8,29.1
19810611,0,24.4,28.5
19810612,6.1,24.3,29.6
19810613,0,24.3,30.1
19810614,1.2,24.4,29.6
19810615,6.1,24.3,28.7
19810616,7,24.4,29.1
19810617,0,24.1,28.1
19810618,0,24,28.5
19810619,0,24.2,29.9
19810620,0,24.6,30.8
19810621,0,24.3,30.7
19810622,0,24.4,30.8
19810623,0,24.1,31
19810624,0,24,31.2
19810625,0,24.2,30
19810626,0,24,29.6
19810627,4.6,23.9,30.4
19810628,0,23.9,30.5
19810629,0,24,30.3
19810630,0,23.8,31.2
19810701,0,24.8,31.9
19810702,0,24.7,32.5
19810703,0,25,31.9
19810704,0,25.2,31.7
19810705,0,25.1,30.5
19810706,1.9,24.9,30.5
19810707,3.4,25,31.2
19810708,0,25.1,31.6
19810709,0,25.1,31.2
19810710,0,25.2,31
19810711,0,25,30.1
19810712,0,24.7,30.9
19810713,0,24.7,30.5
19810714,0,24.7,31.3
19810715,0,24.9,30.1
19810716,6.7,24.9,30.5
19810717,7.9,24.9,30.8
19810718,4.4,25.1,31.5
19810719,1.5,25.1,31.7
19810720,4.1,24.8,31.2
19810721,0,24.9,31.6
19810722,5.4,25.1,30.9
19810723,0,24.9,31.6
19810724,0,24.9,31.7
19810725,0,24.9,31.5
19810726,0,25,28.7
19810727,3.8,24.9,30.7
19810728,1.6,24.5,31.2
19810729,8.5,24.5,30.3
19810730,2.7,24.6,30.3
19810731,3,24.7,31.2
19810801,1.6,24,29.6
19810802,0,24,32.5
19810803,0,24.1,30.5
19810804,0,23.8,29.9
19810805,0,23.7,32.2
19810806,0,23.8,32.4
19810807,0,24.5,30.1
19810808,0,24.7,30.7
19810809,8,24.3,31
19810810,10.1,24.4,30.8
19810811,6.8,24.5,29.6
19810812,0,24.5,30.5
19810813,0,24.6,30.5
19810814,0,24.5,30.6
19810815,0,24.5,31.5
19810816,0,24.1,31.3
19810817,1.2,23.7,29.7
19810818,16.5,23.4,30
19810819,1.1,23.5,30.6
19810820,0,24,29.7
19810821,1.2,24,29.8
19810822,0,23.8,28.7
19810823,0,23.8,30.6
19810824,0,23.6,30.4
19810825,0,23.5,30.5
19810826,4,24.2,28.3
19810827,0,23.8,29.2
19810828,0,23.6,29.1
19810829,1.2,23.7,28.8
19810830,10.3,23.9,29.2
19810831,1.9,23.8,30.4
19810901,0,23.8,30.7
19810902,0,24.2,29.1
19810903,0,23.6,28.8
19810904,0,23.6,28.9
19810905,0,23.9,27.9
19810906,6.9,23.8,28
19810907,1.2,23.8,28.5
19810908,0,23.6,27.8
19810909,4.5,23.3,28.4
19810910,1.1,23.3,29.9
19810911,6.1,23.3,27.7
19810912,19.9,23,28.2
19810913,5.1,23.2,29.1
19810914,2,23.4,28.6
19810915,1.8,23.2,28.2
19810916,16.2,23.4,29.5
19810917,16.1,23.8,28.9
19810918,3.2,23.9,28.9
19810919,2.7,24,30
19810920,1.9,24.3,30.1
19810921,5.1,24.3,30.1
19810922,0,24.9,29.2
19810923,0,24.7,29.3
19810924,0,24.5,30.4
19810925,0,24.5,30.5
19810926,0,23.9,30.1
19810927,0,23.9,31.5
19810928,0,23.7,32
19810929,0,23.3,31.5
19810930,0,23.5,31.5
19811001,0,23.5,31.6
19811002,0,23.4,31.2
19811003,0,23.9,31.4
19811004,0,24.1,31.4
19811005,0,24,31.7
19811006,0,24,31.1
19811007,0,24.2,30.4
19811008,0,24.3,31.5
19811009,0,24,31.9
19811010,0,23.9,33.5
19811011,0,22.3,33
19811012,0,22.3,32.1
19811013,26.8,23.3,31.7
19811014,10.8,23.6,30
19811015,0,23.6,31.3
19811016,0,23.7,30.2
19811017,13.1,24.4,30.2
19811018,5.1,23.9,29.8
