date,prec,tmin,tmax,tmean,srad
19800101,0.0,21.1,30.3,25.7,17.9
19800102,0.0,20.9,30.2,25.6,20.1
19800103,0.0,21.2,30.3,25.8,19.8
19800104,0.0,21.7,30.6,26.2,16.8
19800105,0.0,21.6,29.8,25.7,14.3
19800106,0.0,22.0,30.5,26.3,20.0
19800107,0.0,22.3,30.1,26.2,17.4
19800108,6.1,22.7,30.0,26.4,18.4
19800109,0.0,22.5,30.0,26.3,15.8
19800110,0.0,22.4,29.7,26.1,9.5
19800111,0.0,22.5,30.0,26.3,13.5
19800112,0.0,22.1,30.1,26.1,17.0
19800113,13.3,21.3,29.8,25.6,17.4
19800114,9.2,21.4,29.8,25.6,19.6
19800115,0.0,21.4,29.9,25.7,21.5
19800116,0.0,21.2,29.9,25.6,22.8
19800117,0.0,21.3,29.7,25.5,15.6
19800118,0.0,21.6,30.4,26.0,17.3
19800119,0.0,21.2,29.4,25.3,18.8
19800120,0.0,20.6,30.0,25.3,17.0
19800121,0.0,20.0,30.0,25.0,17.9
19800122,0.0,20.0,29.7,24.9,19.4
19800123,0.0,19.2,29.6,24.4,19.7
19800124,0.0,19.2,29.2,24.2,23.3
19800125,0.0,19.9,29.1,24.5,24.2
19800126,0.0,20.3,30.3,25.3,23.1
19800127,0.0,20.5,30.6,25.6,19.3
19800128,0.0,19.1,31.0,25.1,22.0
19800129,0.0,18.7,30.2,24.5,24.8
19800130,0.0,19.5,30.5,25.0,22.1
19800131,0.0,20.3,30.4,25.4,25.0
19800201,0.0,20.9,28.8,24.9,19.3
19800202,9.3,21.0,28.5,24.8,20.0
19800203,0.0,20.9,28.7,24.8,22.2
19800204,0.0,19.9,29.0,24.5,22.6
19800205,0.0,19.6,29.2,24.4,23.3
19800206,0.0,19.4,29.4,24.4,23.3
19800207,0.0,20.9,29.6,25.3,22.9
19800208,0.0,21.5,29.7,25.6,22.0
19800209,0.0,22.1,29.3,25.7,19.9
19800210,0.0,21.3,29.7,25.5,23.6
19800211,0.0,21.5,30.4,26.0,22.0
19800212,0.0,22.1,30.7,26.4,23.2
19800213,0.0,22.2,29.7,26.0,20.8
19800214,0.0,22.2,30.2,26.2,20.1
19800215,0.0,22.2,30.4,26.3,13.9
19800216,0.0,22.0,31.2,26.6,20.3
19800217,0.0,21.7,31.8,26.8,22.3
19800218,0.0,21.4,31.8,26.6,23.9
19800219,0.0,20.9,31.9,26.4,24.8
19800220,0.0,20.8,31.0,25.9,25.0
19800221,0.0,21.0,31.2,26.1,24.4
19800222,0.0,20.5,31.8,26.2,25.3
19800223,0.0,20.5,33.0,26.8,24.9
19800224,0.0,21.5,33.7,27.6,26.0
19800225,0.0,21.6,32.7,27.2,25.8
19800226,0.0,20.8,33.5,27.2,26.3
19800227,0.0,20.9,34.1,27.5,25.7
19800228,0.0,21.5,34.8,28.2,26.8
19800229,0.0,23.2,34.2,28.7,25.9
19800301,0.0,23.0,32.5,27.8,24.4
19800302,0.0,23.7,34.0,28.9,24.5
19800303,0.0,21.1,32.9,27.0,25.2
19800304,0.0,21.1,32.5,26.8,25.4
19800305,0.0,21.6,33.2,27.4,26.1
19800306,0.0,22.8,33.4,28.1,23.9
19800307,0.0,22.9,32.5,27.7,20.7
19800308,0.0,22.6,30.9,26.8,23.5
19800309,0.0,22.6,31.6,27.1,20.8
19800310,2.9,23.5,30.8,27.2,21.0
19800311,0.0,23.9,32.3,28.1,23.2
19800312,22.0,21.0,33.0,27.0,24.1
19800313,0.0,21.0,32.3,26.7,25.6
19800314,6.4,22.4,30.9,26.7,23.6
19800315,6.5,21.9,30.8,26.4,23.1
19800316,0.0,22.0,33.6,27.8,24.9
19800317,3.9,23.4,33.8,28.6,23.4
19800318,7.1,23.5,33.2,28.4,23.1
19800319,0.0,21.8,33.9,27.9,24.2
19800320,0.0,21.6,32.5,27.1,26.7
19800321,0.0,21.8,33.2,27.5,26.1
19800322,0.0,21.9,34.3,28.1,27.4
19800323,0.0,23.7,35.3,29.5,25.5
19800324,0.0,24.1,34.5,29.3,24.3
19800325,0.0,23.5,33.2,28.4,24.3
19800326,0.0,22.6,34.4,28.5,25.7
19800327,0.0,22.7,33.7,28.2,26.7
19800328,0.0,24.6,34.6,29.6,24.9
19800329,0.0,24.6,32.8,28.7,21.2
19800330,0.0,24.2,31.0,27.6,19.4
19800331,0.0,25.1,30.8,28.0,19.1
19800401,0.0,24.0,33.3,28.7,22.0
19800402,0.0,24.2,36.4,30.3,25.5
19800403,0.0,25.0,35.7,30.4,24.9
19800404,4.1,24.8,33.9,29.4,23.6
19800405,15.2,24.3,32.2,28.3,19.0
19800406,7.4,24.3,34.8,29.6,21.7
19800407,11.1,24.4,29.8,27.1,14.9
19800408,7.4,24.7,34.8,29.8,22.0
19800409,0.0,24.8,37.4,31.1,25.5
19800410,0.0,24.9,30.2,27.6,17.1
