date	prec	tmin	tmax	srad
1986001	0	17.4	33.6	22.8
1986002	0	16.3	34.2	22.2
1986003	0	19	34.3	21.2
1986004	0	19	35.5	22.9
1986005	0	16.9	34.8	23.9
1986006	0	17.6	34.6	23.2
1986007	0	17.4	35	23.8
1986008	0	17.4	36	23.7
1986009	0	17.3	35.4	22.3
1986010	0	17.9	35	24.5
1986011	0	17.7	34.7	23.4
1986012	0	17	34.3	24.1
1986013	0	16.6	32	23.5
1986014	0	18.7	31.6	21.9
1986015	0	17.7	31.3	22.6
1986016	0	17.5	32.7	23.1
1986017	0	18.7	34.8	21.9
1986018	0	18	34.5	23.3
1986019	0	17.8	35.4	23.6
1986020	0	18.6	33.8	23.1
1986021	0	18.7	33.8	17.3
1986022	0	19.5	33.7	14.1
1986023	0	19.3	34.8	20.4
1986024	0	18.3	35.5	23.2
1986025	0	18.8	37.1	23.2
1986026	0	18	35.5	22.5
1986027	0	19.3	34.8	23.3
1986028	0	20	35.6	22.5
1986029	0	18.9	36.6	24.9
1986030	0	17.7	36.9	24
1986031	0	18.7	37.1	23.4
1986032	0	22.2	37.6	21.7
1986033	0	22.5	38.8	23.9
1986034	0	22.5	37	24.4
1986035	0	20.8	37.7	23.8
1986036	0	21	36.6	24.2
1986037	0	20.6	38.5	24.7
1986038	0	21.9	35.1	21.9
1986039	0	19.4	35	22.9
1986040	0	20	35.7	22.8
1986041	0	19.5	37.5	23.9
1986042	0	21.3	38.4	24.2
1986043	0	20.4	37.8	23.6
1986044	0	21.5	38.1	23.9
1986045	0	20.4	38.8	23.3
1986046	0	22.3	37	23.3
1986047	0	20.5	36.5	22.1
1986048	0	19.4	37.6	22.4
1986049	0	20.4	36.7	20.7
1986050	0	21.9	38.4	24.3
1986051	0	21.2	38.7	24.9
1986052	0	20	38	20.7
1986053	0	20.8	38.6	25.1
1986054	0	19.5	39.8	24.5
1986055	0	20.5	37.5	20
1986056	0	21.2	37.5	24.2
1986057	0	21.4	36.8	23.7
1986058	0	21.5	38.1	23.3
1986059	0	22.3	37.7	23
1986060	0	22.9	37.5	23.1
1986061	0	21.8	39.5	23.9
1986062	0	23	38.6	15.5
1986063	0	22.5	38.7	15.2
1986064	0	22.5	37.1	18.7
1986065	0	24.3	36.1	22.3
1986066	0	22.9	36.4	19.8
1986067	0	21.9	36.8	23.2
1986068	4.3	21.5	37.5	20.4
1986069	0	25.9	38.2	20.9
1986070	0	23.5	39	24.6
1986071	0	23	38	17.6
1986072	0	22.8	38.5	24.9
1986073	0	20.2	39.7	24.7
1986074	13.3	23	38	24.1
1986075	0	19	32.6	13.6
1986076	0	21	35	18.7
1986077	0	21.5	37.5	22.2
1986078	0	23.9	36.8	22
1986079	0	24.8	36.6	20.3
1986080	0	23	34.6	13.4
1986081	0	23.6	37.3	17
1986082	0	26.5	37.2	19
1986083	0	24.6	38.2	24.5
1986084	0	24.2	36.7	19.7
1986085	0	23.6	37.4	18.7
1986086	0	22.1	33	14.7
1986087	0	24	36.4	22.7
1986088	0	23	37	24.2
1986089	0	24.5	37	23.9
