date	TRF	M.Min	M.Max
1969-01-01	7	22	28
1969-02-01	13.7	23.4	29.1
1969-03-01	0	25.4	30.8
1969-04-01	8.7	27.8	32.8
1969-05-01	41.5	27.8	36
1969-06-01	1.7	27.5	37.9
1969-07-01	18	27	36
1969-08-01	20.3	26.1	33.8
1969-09-01	6.6	26.1	34.9
1969-10-01	356.7	24.5	30.6
1969-11-01	503.1	24.1	29.8
1969-12-01	843.1	23	27.6
1970-01-01	58.7	23.1	28
1970-02-01	113.9	24.4	29.3
1970-03-01	0	25.8	31.2
1970-04-01	73.1	27.3	32.7
1970-05-01	72.7	27.2	35.8
1970-06-01	39.5	26.7	35.9
1970-07-01	58.3	26.3	35.4
1970-08-01	72.9	25.7	34.3
1970-09-01	114.1	25.7	33.4
1970-10-01	103.3	25.2	31.8
1970-11-01	1026	24	28.9
1970-12-01	86.6	21.4	27.3
1971-01-01	99.5	22.3	27.5
1971-02-01	3.6	23.4	29.1
1971-03-01	45.1	25.3	30.3
1971-04-01	68.4	26.7	32.6
1971-05-01	97.3	26.9	35.7
1971-06-01	37.8	26.3	35.4
1971-07-01	97.5	25.6	35.3
1971-08-01	62.4	25.7	33.9
1971-09-01	48.2	26.2	33.2
1971-10-01	306.3	25	32.2
1971-11-01	98.6	23.5	29
1971-12-01	589.1	22	26.7
1972-01-01	7.5	21.8	27.4
1972-02-01	0	22.8	28.9
1972-03-01	0	23.7	30.9
1972-04-01	8.4	26.8	32.3
1972-05-01	38.3	26.7	34.3
1972-06-01	53.6	27.3	37.4
1972-07-01	58.1	26.5	36.2
1972-08-01	15	26.3	35.8
1972-09-01	71.8	25.4	34.1
1972-10-01	559.8	24.8	30.7
1972-11-01	550.7	23.9	29.4
1972-12-01	432.2	23.8	28.2
1973-01-01	0	23.2	29
1973-02-01	0.9	24.5	29.8
1973-03-01	1.2	25.1	31.3
1973-04-01	4.2	28.1	34.8
1973-05-01	35.2	27.8	36.3
1973-06-01	39.6	27.4	36.4
1973-07-01	22.5	26.9	36.3
1973-08-01	77.2	25.5	33.8
1973-09-01	98.4	25.6	33.9
1973-10-01	335.2	25.5	31.2
1973-11-01	380.4	23.5	29.4
1973-12-01	227.8	22.6	28.1
1974-01-01	2.2	21.5	27.7
1974-02-01	58.2	22.3	28.4
1974-03-01	13.4	24.8	30.8
1974-04-01	0.2	27.1	33.7
1974-05-01	94.3	26.7	35.2
1974-06-01	42.7	26.3	36.4
1974-07-01	11.3	26.1	35.4
1974-08-01	96.4	25.9	35.1
1974-09-01	82.6	25.2	32.8
1974-10-01	66.4	24.9	32.1
1974-11-01	105.9	23.4	29.8
1974-12-01	87.5	22.5	28
1975-01-01	58.8	22.1	27.8
1975-02-01	1.2	24	29.2
1975-03-01	46.9	25.3	30.7
1975-04-01	0	27.4	32.7
1975-05-01	13	27.3	37.8
1975-06-01	6.4	27.3	36.9
1975-07-01	75.8	25.7	34.3
1975-08-01	164	25.6	34.2
1975-09-01	74	25.6	32.1
1975-10-01	271.4	24.3	31.1
1975-11-01	365.8	23.4	28.6
1975-12-01	212	21.9	27.5
1976-01-01	1.4	21.9	27.3
1976-02-01	1.4	21.2	28
1976-03-01	1.6	23.6	30.1
1976-04-01	6	26.5	32.6
1976-05-01	0.8	27.8	38.1
1976-06-01	35.8	26.8	36.6
1976-07-01	139.3	26.6	35.5
1976-08-01	69.5	25.7	34.7
