date	prec(mm/month)	tmin	tmax
19690101	7	22	28
19690201	13.7	23.4	29.1
19690301	0	25.4	30.8
19690401	8.7	27.8	32.8
19690501	41.5	27.8	36
19690601	1.7	27.5	37.9
19690701	18	27	36
19690801	20.3	26.1	33.8
19690901	6.6	26.1	34.9
19691001	356.7	24.5	30.6
19691101	503.1	24.1	29.8
19691201	843.1	23	27.6
19700101	58.7	23.1	28
19700201	113.9	24.4	29.3
19700301	0	25.8	31.2
19700401	73.1	27.3	32.7
19700501	72.7	27.2	35.8
19700601	39.5	26.7	35.9
19700701	58.3	26.3	35.4
19700801	72.9	25.7	34.3
19700901	114.1	25.7	33.4
19701001	103.3	25.2	31.8
19701101	1026	24	28.9
19701201	86.6	21.4	27.3
19710101	99.5	22.3	27.5
19710201	3.6	23.4	29.1
19710301	45.1	25.3	30.3
19710401	68.4	26.7	32.6
19710501	97.3	26.9	35.7
19710601	37.8	26.3	35.4
19710701	97.5	25.6	35.3
19710801	62.4	25.7	33.9
19710901	48.2	26.2	33.2
19711001	306.3	25	32.2
19711101	98.6	23.5	29
19711201	589.1	22	26.7
19720101	7.5	21.8	27.4
19720201	0	22.8	28.9
19720301	0	23.7	30.9
19720401	8.4	26.8	32.3
19720501	38.3	26.7	34.3
19720601	53.6	27.3	37.4
19720701	58.1	26.5	36.2
19720801	15	26.3	35.8
19720901	71.8	25.4	34.1
19721001	559.8	24.8	30.7
19721101	550.7	23.9	29.4
19721201	432.2	23.8	28.2
19730101	0	23.2	29
19730201	0.9	24.5	29.8
19730301	1.2	25.1	31.3
19730401	4.2	28.1	34.8
19730501	35.2	27.8	36.3
19730601	39.6	27.4	36.4
19730701	22.5	26.9	36.3
19730801	77.2	25.5	33.8
19730901	98.4	25.6	33.9
19731001	335.2	25.5	31.2
19731101	380.4	23.5	29.4
19731201	227.8	22.6	28.1
19740101	2.2	21.5	27.7
19740201	58.2	22.3	28.4
19740301	13.4	24.8	30.8
19740401	0.2	27.1	33.7
19740501	94.3	26.7	35.2
19740601	42.7	26.3	36.4
19740701	11.3	26.1	35.4
19740801	96.4	25.9	35.1
19740901	82.6	25.2	32.8
19741001	66.4	24.9	32.1
19741101	105.9	23.4	29.8
19741201	87.5	22.5	28
19750101	58.8	22.1	27.8
19750201	1.2	24	29.2
19750301	46.9	25.3	30.7
19750401	0	27.4	32.7
19750501	13	27.3	37.8
19750601	6.4	27.3	36.9
19750701	75.8	25.7	34.3
19750801	164	25.6	34.2
19750901	74	25.6	32.1
19751001	271.4	24.3	31.1
19751101	365.8	23.4	28.6
19751201	212	21.9	27.5
19760101	1.4	21.9	27.3
19760201	1.4	21.2	28
19760301	1.6	23.6	30.1
19760401	6	26.5	32.6
19760501	0.8	27.8	38.1
19760601	35.8	26.8	36.6
19760701	139.3	26.6	35.5
19760801	69.5	25.7	34.7
19760901	94.5	25.7	34
19761001	235.6	25.4	31.2
19761101	610.8	24.3	29.3
19761201	369.6	23.6	28.2
19770101	23.6	22.2	28.1
19770201	19.6	24.3	28.9
19770301	26.4	25.8	30.3
19770401	0	27	32.9
19770501	70.4	27.1	34.7
19770601	146.9	26.8	36
19770701	77.8	26.9	35.9
19770801	72.6	25.6	34.5
