date,tmax
19810101,7.5
19810102,3.5
19810103,2.5
19810104,1
19810105,0.8
19810106,3.4
19810107,5.3
19810108,6.2
19810109,7.2
19810110,6.8
19810111,4.4
19810112,6.6
19810113,1.4
19810114,2.8
19810115,1.6
19810116,4.2
19810117,3.2
19810118,1.4
19810119,4.5
19810120,5.4
19810121,3
19810122,1.2
19810123,6.8
19810124,3.2
19810125,2.8
19810126,6.5
19810127,6.2
19810128,6.8
19810129,7.2
19810130,6
19810131,5
19810201,6.6
19810202,6.5
19810203,5.5
19810204,5.2
19810205,3.5
19810206,4
19810207,6.5
19810208,5
19810209,6.2
19810210,6
19810211,6.6
19810212,4.4
19810213,4
19810214,6.6
19810215,5.6
19810216,6
19810217,6.4
19810218,5
19810219,4.6
19810220,5.8
19810221,5.2
19810222,6.5
19810223,4.8
19810224,5
19810225,6.2
19810226,6
19810227,5.8
19810228,6.2
19810301,5.28
19810302,5.74
19810303,5.94
19810304,6.4
19810305,6.56
19810306,6.44
19810307,6.32
19810308,5.92
19810309,5.9
19810310,6.28
19810311,6.36
19810312,6.44
19810313,6
19810314,5.76
19810315,4.36
19810316,5.28
19810317,5.48
19810318,5.56
19810319,4.4
19810320,4.86
19810321,5
19810322,5.28
19810323,4.4
19810324,4.88
19810325,4.84
19810326,4.6
19810327,4.94
19810328,4.8
19810329,3.78
19810330,4.34
19810331,3.98
19810401,6.6
19810402,4.6
19810403,3.2
19810404,4
19810405,6
19810406,3.4
19810407,2.8
19810408,6.2
19810409,6
19810410,3.5
19810411,5
19810412,4.6
19810413,6
19810414,4.8
19810415,6
19810416,2.2
19810417,3.6
19810418,5.2
19810419,5.8
19810420,7.4
19810421,6.4
19810422,5.5
19810423,5
19810424,6.4
19810425,7.2
19810426,5.8
19810427,5.8
19810428,4.3
19810429,3.6
19810430,2.6
19810501,5.5
19810502,8.6
19810503,4
19810504,6.4
19810505,3.6
19810506,6.2
19810507,5.4
19810508,7.6
19810509,6.4
19810510,4.4
19810511,4
19810512,7
19810513,4.6
19810514,7
19810515,6.2
19810516,5.5
19810517,4.5
19810518,4.2
19810519,5
19810520,2
19810521,1.7
19810522,1
19810523,2.5
19810524,5
19810525,1.4
19810526,2
19810527,2.6
19810528,1.8
19810529,6.4
19810530,3.4
19810531,4.4
19810601,8
19810602,3.6
19810603,4.6
19810604,5
19810605,6
19810606,1.6
19810607,0.8
19810608,0.4
19810609,2.8
19810610,2.4
19810611,3.5
19810612,2
19810613,1.6
19810614,0.8
19810615,0.8
19810616,1
19810617,3.5
19810618,2.8
19810619,4.4
19810620,4.2
19810621,4
19810622,0.4
19810623,0.4
19810624,2
19810625,1
19810626,3.2
19810627,2
19810628,0.8
19810629,0.4
19810630,0.2
19810701,-0.5
19810702,0.2
19810703,2
19810704,3
19810705,1
19810706,0.2
19810707,-3.9
19810708,-2.4
19810709,-2
19810710,-0.5
19810711,-2.2
19810712,-1.4
19810713,-1
19810714,-0.6
19810715,-0.5
19810716,4.4
19810717,1.5
19810718,1
19810719,-1.4
19810720,-2.5
19810721,-0.12
19810722,2
19810723,6.4
19810724,1.6
19810725,3.2
19810726,2
19810727,3.2
19810728,2
19810729,0.8
19810730,1.6
19810731,1
19810801,1.2
19810802,0.8
19810803,-2.4
19810804,1.2
19810805,-1.4
19810806,0.8
19810807,-1
19810808,-0.6
19810809,-1
19810810,-3.4
19810811,1.4
19810812,2
19810813,1.6
19810814,1.4
19810815,0.5
19810816,2
19810817,2.2
19810818,2.6
19810819,2
19810820,2.4
19810821,1.4
19810822,1.4
19810823,1.8
19810824,2.2
19810825,2.6
19810826,3.2
19810827,2.4
19810828,2.6
19810829,2.6
19810830,1.8
19810831,1.8
19810901,2.4
19810902,2.6
19810903,1.8
19810904,1.6
19810905,2.4
19810906,1.4
19810907,4.6
19810908,2.4
19810909,6.6
19810910,1.6
19810911,1.2
19810912,1.2
19810913,2.4
19810914,3.2
19810915,2.2
19810916,1.4
19810917,2.4
19810918,2.2
19810919,2.4
19810920,4.6
19810921,3.8
19810922,4.2
19810923,4.6
19810924,5.6
19810925,6.2
19810926,3.8
19810927,5.8
19810928,7.6
19810929,5.2
19810930,6.6
19811001,2.6
19811002,2.2
19811003,1.8
19811004,8
19811005,7.4
19811006,4.6
19811007,3.6
19811008,2.8
19811009,5.4
19811010,5.4
19811011,6.8
19811012,6.8
19811013,9.4
19811014,8
19811015,4.6
19811016,8.4
19811017,5.4
19811018,4.8
19811019,6.4
19811020,9.4
19811021,5.8
19811022,8.4
19811023,4.6
19811024,8.2
19811025,8.6
19811026,7.6
19811027,8.2
19811028,8
19811029,9
19811030,6.6
19811031,8.2
19811101,6
19811102,1.4
19811103,6.496
19811104,1
19811105,4
19811106,6
19811107,4.8
19811108,6.4
19811109,7.2
19811110,8.4
19811111,5.6
19811112,6.8
19811113,8.6
19811114,6.2
19811115,6.4
19811116,9.6
19811117,7.8
19811118,9.4
19811119,5.4
19811120,7.4
19811121,9.4
19811122,8.6
19811123,6
19811124,9.4
19811125,7.2
19811126,4.8
19811127,7
19811128,6.6
19811129,6.8
19811130,9
19811201,9
19811202,8.6
19811203,5.8
19811204,5
19811205,4
19811206,7.8
19811207,6.2
19811208,7.6
19811209,9
19811210,8
19811211,7
19811212,8
19811213,4.8
19811214,4.4
19811215,6
19811216,6.2
19811217,3.8
19811218,5
19811219,6.2
19811220,4.2
19811221,7.8
19811222,10
19811223,7.8
19811224,7
19811225,8
19811226,7.6
19811227,8
19811228,10.4
19811229,9.6
19811230,4.8
19811231,4.6
