date	prec
19810101	0.065654567
19810102	0.195302623
19810103	0.175971634
19810104	0.133988245
19810105	5.380373423
19810106	1.395372751
19810107	2.197308293
19810108	1.208790627
19810109	0.849013579
19810110	0.696706666
19810111	3.183625598
19810112	2.775337112
19810113	2.835820694
19810114	0.263949003
19810115	1.942009902
19810116	1.443632245
19810117	0.195764109
19810118	0.447933519
19810119	2.608172575
19810120	0.147270883
19810121	1.522358113
19810122	0.259706391
19810123	0.168526676
19810124	0.124380773
19810125	0.172151291
19810126	0.045444532
19810127	0.076911641
19810128	0.703784781
19810129	1.956299572
19810130	5.745348292
19810131	7.260539585
19810201	6.827980354
19810202	1.83661025
19810203	1.803591869
19810204	2.40335517
19810205	1.905316096
19810206	0.979063502
19810207	3.453560562
19810208	6.068383044
19810209	5.350846178
19810210	0.698213422
19810211	2.849078728
19810212	2.739527644
19810213	1.276527352
19810214	0.843468558
19810215	2.817618523
19810216	3.040381865
19810217	1.683778182
19810218	1.627618519
19810219	4.144100718
19810220	1.582250977
19810221	3.150743382
19810222	1.945881564
19810223	2.544789654
19810224	2.658720611
19810225	1.860576553
19810226	0.757378535
19810227	0.971032694
19810228	0.810243831
19810301	1.536465167
19810302	1.225101925
19810303	0.853153797
19810304	1.312310683
19810305	4.68518972
19810306	3.053965666
19810307	3.469231148
19810308	4.339039447
19810309	4.791416067
19810310	5.049187347
19810311	3.371526428
19810312	1.958376688
19810313	1.336096026
19810314	1.984209427
19810315	0.519113167
19810316	0
19810317	2.234810925
19810318	0.813456352
19810319	0.389006105
19810320	0.380636277
19810321	0
19810322	1.369885216
19810323	0.576800351
19810324	1.963538496
19810325	0
19810326	6.177082037
19810327	1.492657666
19810328	0.608052016
19810329	0.629902948
19810330	0
19810331	0.263188908
19810401	0.132722754
19810402	0.412246693
19810403	0.236193584
19810404	0.992453152
19810405	0.890136379
19810406	0.83952488
19810407	0.390918224
19810408	0.835481755
19810409	0.407029989
19810410	0.439666995
19810411	0.464634986
19810412	0.731751127
19810413	0.879217433
19810414	0.329228222
19810415	0.263139115
19810416	1.660278653
19810417	1.403756264
19810418	0.276707603
19810419	0.177843829
19810420	0.099425281
19810421	0.231400978
19810422	0.118705096
19810423	0.060937832
19810424	0.165476413
19810425	0.177672342
19810426	0.136733384
19810427	0.137895592
19810428	0.136772221
19810429	0.082998155
19810430	0.150395905
19810501	0.243284434
19810502	0.089719062
19810503	0.095288601
19810504	0.002551282
19810505	0
19810506	0.533657553
19810507	0.068600281
19810508	0
19810509	0
19810510	0.087820583
19810511	0.127176858
19810512	0.213451404
19810513	0.098461376
19810514	0.228225142
19810515	0.258687094
19810516	0
19810517	0.115037115
19810518	0.173827213
19810519	0.08645641
19810520	0.123722477
19810521	0.103021238
19810522	0.082924773
19810523	0.104133641
19810524	0.048006624
19810525	0.036709062
19810526	0.077465354
19810527	0.101503572
19810528	0.122244146
19810529	0.235440142
19810530	0.165303457
19810531	0.038013904
19810601	0.0154367
19810602	0.02142445
19810603	0.002092066
19810604	0.120418142
19810605	0.053288637
19810606	0.026978289
19810607	0.164269851
19810608	0.638288228
19810609	0.768674124
19810610	0.04290277
19810611	0.058380548
19810612	0.712626517
19810613	0.200315088
19810614	0.043398731
19810615	0.032270117
19810616	0.152217806
19810617	0.75769127
19810618	0.687550954
19810619	0.124107692
19810620	0.101679103
19810621	0.002958334
19810622	0.025740062
19810623	0.008060289
19810624	0.030071009
19810625	0.075912304
19810626	0.157375201
19810627	0.018416508
19810628	0
19810629	0
19810630	0.009908664
19810701	0.036690149
19810702	0.076571293
19810703	0.214316677
19810704	0.254851478
19810705	0.125889766
19810706	0.011131276
19810707	0.116357401
19810708	0.00544262
19810709	0.018197176
19810710	0.021742835
19810711	0.008725584
19810712	0.121560647
19810713	0.069213115
19810714	0.031075635
19810715	0.008640486
19810716	0.018726006
19810717	0.009967812
19810718	0.169867668
19810719	0.147241
19810720	0.034132898
19810721	0.000231614
19810722	0.007951566
19810723	0.010592852
19810724	0.021033924
19810725	0.002552479
19810726	0.050945145
19810727	0.016663945
19810728	0.026491668
19810729	0.013114863
19810730	0.028039394
19810731	0.021932407
19810801	0.059176186
19810802	0.020755067
19810803	0.023759914
19810804	0.132562481
19810805	0.203500048
19810806	0.096594253
19810807	0.093457376
19810808	0.108850879
19810809	0.403842665
19810810	0.576543965
19810811	0.527606212
19810812	0.171189721
19810813	0.120969492
19810814	0.059095148
19810815	0.114075795
19810816	0.089281056
19810817	0.099546615
19810818	0.115689198
19810819	0.151589944
19810820	0.023219833
19810821	0.006092219
19810822	0.021802698
19810823	0.086181791
19810824	0.09517917
19810825	0.031892023
19810826	0.005661813
19810827	0.117552643
19810828	0.419580538
19810829	0.244949239
19810830	0.55996518
19810831	0.3304961
19810901	0.05320714
19810902	0.012024954
19810903	0.093751331
19810904	0.082541582
19810905	0.160127337
19810906	0.101333137
19810907	0.02426926
19810908	0.02707182
19810909	0.182311873
19810910	0.098855166
19810911	0.027076427
19810912	0.044459057
19810913	0.232492926
19810914	0.040306724
19810915	0
19810916	0.070650451
19810917	0.103078855
19810918	0.03175637
19810919	0.022710344
19810920	0.071605526
19810921	0.143600594
19810922	0.165594294
19810923	0.191896964
19810924	0.091323888
19810925	0.071101041
19810926	0.063570731
19810927	0.059381487
19810928	0.074573065
19810929	0.138902237
19810930	0.089185433
19811001	0.295450191
19811002	0.058046267
19811003	0.017692381
19811004	0.096492696
19811005	0.033114009
19811006	0.073767551
19811007	0.131006726
19811008	0.418957404
19811009	1.849805449
19811010	0.214292788
19811011	0.553665314
19811012	0.94612994
19811013	0.891436222
19811014	0.713177216
19811015	0.810222528
19811016	1.281906321
19811017	1.024452757
19811018	2.536443969
19811019	1.785102568
19811020	1.738720116
19811021	0.744322974
19811022	0.764450577
19811023	0.834581548
19811024	0.733788479
19811025	0
19811026	0.802114827
19811027	2.429910303
19811028	0.585330492
19811029	0.40857342
19811030	0.087214273
19811031	0.667477379
19811101	0.857013388
19811102	0.293268069
19811103	0.912105154
19811104	0.910949809
19811105	0.518556944
19811106	2.290767785
19811107	1.268018635
19811108	0.970138738
19811109	1.083675945
19811110	1.18233424
19811111	0.900062308
19811112	1.173324139
19811113	1.467582138
19811114	2.162920402
19811115	1.041668247
19811116	0.558963446
19811117	0.345627597
19811118	0.071234886
19811119	0.089279163
19811120	1.103332721
19811121	1.038578112
19811122	0.227651596
19811123	0.260274594
19811124	0.569709095
19811125	1.073896042
19811126	1.110649775
19811127	1.909371542
19811128	1.541527783
19811129	0
19811130	0.083195814
19811201	0.125262484
19811202	0.312399771
19811203	2.606401438
19811204	0.26568646
19811205	0.390982175
19811206	1.0618557
19811207	0.216116283
19811208	4.87706675
19811209	0.171457496
19811210	0.838879942
19811211	0.709616355
19811212	1.192107963
19811213	1.275674368
19811214	1.773330902
19811215	0.968505141
19811216	1.697338658
19811217	0.679597646
19811218	0.227029661
19811219	0.316274198
19811220	0.368401197
19811221	0.64681305
19811222	1.232386822
19811223	0.135738588
19811224	0
19811225	1.856485083
19811226	1.436602886
19811227	1.463728096
19811228	2.147387898
19811229	1.239721905
19811230	0.337981897
19811231	0.193314189
19820101	0.709178518
19820102	0.038606617
19820103	0.314058492
19820104	0.268616425
19820105	0.777684619
19820106	0.626604714
19820107	0.065441156
19820108	0
19820109	0.278565165
19820110	0.818116682
19820111	1.605943689
19820112	0.572122793
19820113	0
19820114	1.933081863
19820115	1.522442468
19820116	0.360771126
19820117	1.632715961
19820118	1.152365845
19820119	1.319837363
19820120	0.847761796
19820121	1.084118256
19820122	0.981494609
19820123	0.650493057
19820124	0.540254822
19820125	3.697317973
19820126	1.818850585
19820127	1.791345661
19820128	1.855920002
19820129	3.259820381
19820130	0.953265808
19820131	3.701587111
19820201	2.332573368
19820202	0.996054003
19820203	1.503282323
19820204	12.08399373
19820205	2.416636087
19820206	3.096858778
19820207	3.220846618
19820208	2.002703608
19820209	1.234506282
19820210	2.305832917
19820211	1.427716188
19820212	1.63193767
19820213	1.435239864
19820214	0.862028893
19820215	1.844302946
19820216	0.873909776
19820217	0.220841983
19820218	0.437773396
19820219	1.083232229
19820220	2.102246914
19820221	0.955179741
19820222	0.370320008
19820223	1.164245106
19820224	1.396950543
19820225	0.963496919
19820226	0.256612119
19820227	1.178635669
19820228	1.669805942
19820301	0.413810679
19820302	0.993476038
19820303	0
19820304	0
19820305	0.146547103
19820306	0.44168389
19820307	0.452154503
19820308	0.516912705
19820309	0.101910035
19820310	0.321703141
19820311	0.912914248
19820312	0.972356396
19820313	0.772215797
19820314	1.562152459
19820315	0
19820316	4.35491573
19820317	1.237049871
19820318	3.801754602
19820319	1.282371943
19820320	0.355651195
19820321	0.474932962
19820322	2.205984502
19820323	1.446122313
19820324	3.8185574
19820325	1.477110411
19820326	0.853276525
19820327	0.610603581
19820328	2.936016804
19820329	1.732959
19820330	0.639786403
19820331	0.121927411
19820401	0.174871492
19820402	0.220803665
19820403	1.218316808
19820404	0
19820405	0.975421399
19820406	1.506761494
19820407	2.351977396
19820408	1.792253082
19820409	2.207176341
19820410	1.427332926
19820411	0
19820412	0.178798665
19820413	0.028508852
19820414	0.034810007
19820415	0.167078745
19820416	0
19820417	0.078444931
19820418	0.576007304
19820419	0.080655059
19820420	0.066406999
19820421	0.348546147
19820422	0.129223402
19820423	0.312703029
19820424	0.535619903
19820425	0.717227139
19820426	0
19820427	1.129793754
19820428	0.199658715
19820429	0.586422721
19820430	0.194023583
19820501	0.009568981
19820502	0.02909201
19820503	0.028365352
19820504	0.061837499
19820505	0.076572913
19820506	0.105413408
19820507	0.071954742
19820508	0.295876636
19820509	0
19820510	0.116559631
19820511	0.11001869
19820512	0
19820513	0.497182367
19820514	0.449192182
19820515	0.296069916
19820516	0.468196474
19820517	0.178485997
19820518	0.177778516
19820519	0.5966968
19820520	0.181724819
19820521	0.183166561
19820522	0.091676122
19820523	0.0156422
19820524	0.158096757
19820525	0
19820526	0.748382147
19820527	0.130903515
19820528	0.045957155
19820529	0.048700131
19820530	0.036769978
19820531	0.042592571
19820601	0.03497897
19820602	0.002497858
19820603	0.025881225
19820604	0.022051887
19820605	0.06736386
19820606	0.172986156
19820607	0.032407671
19820608	0.001881129
19820609	0.006766346
19820610	0.162240888
19820611	0.103393151
19820612	0.112238364
19820613	0.012220905
19820614	0.074332756
19820615	0.132396751
19820616	0.160433969
19820617	0.17079643
19820618	0.095383781
19820619	0.04790014
19820620	0.110098996
19820621	0.120210891
19820622	0.350239978
19820623	0.260096341
19820624	0.094439391
19820625	0.07503696
19820626	0.057335879
19820627	0.024124497
19820628	0.061057223
19820629	0.034968773
19820630	0.015419109
19820701	0.011121126
19820702	0
19820703	0.047713608
19820704	0.012426759
19820705	0.005887697
19820706	0.006089809
19820707	0.115969398
19820708	0.085804345
19820709	0.138653414
19820710	0.052938122
19820711	0.125775291
19820712	0.303977186
19820713	0.177404267
19820714	0.070933994
19820715	0.247960495
19820716	0.064631379
19820717	0.040654137
19820718	0.009223394
19820719	0.003893401
19820720	0.00836822
19820721	0.011782383
