date,prec,tmin,tmax
19790101,2.133,5.563,8.621
19790102,0.014,7.305,13.306
19790103,0,6.123,13.718
19790104,3.682,7.472,15.061
19790105,0.117,1.923,8.3
19790106,0.458,-0.079,7.16
19790107,7.859,2.021,5.422
19790108,1.294,1.342,6.733
19790109,37.184,4.525,6.552
19790110,5.653,2.987,5.664
19790111,0.007,1.445,8.056
19790112,0.014,1.451,10.13
19790113,0,1.315,11.89
19790114,0,3.731,14.081
19790115,0.05,6.264,16.761
19790116,2.012,9.896,13.319
19790117,11.891,9.825,11.133
19790118,1.615,10.921,15.89
19790119,46.189,9.343,11.703
19790120,14.464,9.858,11.261
19790121,7.423,8.912,12.426
19790122,11.34,5.974,12.698
19790123,4.25,4.296,10.513
19790124,0.032,0.783,9.575
19790125,0.021,2.638,9.247
19790126,0,1.967,12.223
19790127,0,3.332,13.558
19790128,0.027,5.248,13.709
19790129,0,4.957,14.299
19790130,0,4.678,15.01
19790131,0.021,6.747,15.49
19790201,0,8.484,17.484
19790202,14.756,9.505,12.805
19790203,6.054,5.123,12.432
19790204,0,2.698,11.861
19790205,0,2.58,13.17
19790206,0.505,4.083,14.804
19790207,7.043,8.969,15.921
19790208,22.184,9.959,16.178
19790209,6.286,9.832,12.96
19790210,10.632,9.396,15.459
19790211,0.994,6.486,12.795
19790212,2.012,9.379,13.563
19790213,0,6.175,16.755
19790214,0,7.955,19.491
19790215,0.441,10.672,18.867
19790216,1.402,9.605,17.962
19790217,0,7.329,17.945
19790218,0,6.731,18.232
19790219,0.203,6.041,17.094
19790220,0.196,7.926,16.221
19790221,1.715,6.238,11.399
19790222,0.51,5.537,16.126
19790223,3.033,7.747,15.992
19790224,0,6.18,16.453
19790225,0,7.052,16.947
19790226,0,7.266,15.626
19790227,0.91,5.843,17.157
19790228,1.078,6.608,15.267
19790301,0,4.163,16.182
19790302,0,4.451,16.932
19790303,0,5.562,16.644
19790304,0,3.454,15.287
19790305,0,2.357,15.305
19790306,0,3.676,17.236
19790307,4.666,7.645,12.77
19790308,0.01,10.058,18.904
19790309,19.95,8.36,14.18
19790310,5.297,7.798,13.718
19790311,0.062,8.47,16.919
19790312,0,7.747,19.584
19790313,0.323,10.28,20.528
19790314,8.514,10.259,17.148
19790315,0.518,8.786,17.219
19790316,0,7.527,20.236
19790317,0,8.508,21.079
19790318,3.842,10.609,15.997
19790319,2.326,10.992,21.936
19790320,1.057,12.498,20.887
19790321,1.603,11.508,21.527
19790322,0,10.995,21.746
19790323,0.024,11.373,22.75
19790324,15.607,11.15,14.305
19790325,3.342,10.598,18.659
19790326,5.761,9.97,21.16
19790327,11.106,9.28,14.635
19790328,1.164,8.512,16.835
19790329,0,7.438,19.511
19790330,0,8.989,20.279
19790331,0,10.375,23.017
19790401,0,11.492,24.068
19790402,0,12.741,25.207
19790403,0,13.998,28.021
19790404,0,16.717,28.377
19790405,1.885,16.115,25.928
19790406,4.281,13.436,25.088
19790407,0.027,14.036,24.039
19790408,0,15.382,28.125
19790409,2.39,14.36,23.774
19790410,1.516,12.675,24.293
19790411,0,9.391,23.57
19790412,0.148,13.363,25.042
19790413,1.054,14.345,24.41
19790414,2.273,14.017,27.834
19790415,0,10.66,21.009
19790416,0.834,9.483,20.094
19790417,0,8.921,22.824
19790418,0,9.825,26.525
19790419,0,16.788,26.218
19790420,0,15.384,28.118
19790421,0.426,17.35,25.828
19790422,1.085,15.362,26.965
19790423,0.038,11.093,25.075
19790424,0,10.969,27.496
19790425,1.442,13.634,25.232
19790426,0.354,11.763,24.86
19790427,0,10.072,26.514
19790428,0,10.097,24.651
19790429,0,10.057,30.356
19790430,0,13.51,30.827
19790501,0,15.463,31.253
19790502,0.319,16.284,32.15
19790503,5.342,17.301,26.796
19790504,1.13,14.909,31.69
19790505,20.033,15.35,24.078
19790506,6.726,15.316,27.705
19790507,0,15.737,27.597
19790508,0.096,15.856,31.697
19790509,2.802,15.789,29.328
19790510,0,16.752,31.315
19790511,0,17.903,34.297
19790512,0,18.124,33.499
19790513,0,19.472,35.511
19790514,0.103,20.695,31.587
19790515,0.117,18.736,32.005
19790516,0.069,15.317,30.548
19790517,0.591,15.452,26.718
19790518,1.219,14.833,29.512
19790519,0,18.44,34.723
19790520,0,19.318,36.293
19790521,0,22.064,35.249
19790522,0,19.944,35.826
19790523,0,20.49,35.214
19790524,0,18.82,34.604
19790525,0,19.075,36.111
19790526,0,21.281,39.635
19790527,0,23.385,38.977
19790528,0,22.958,38.213
19790529,0,20.201,35.826
19790530,0,20.729,37.663
19790531,6.767,22.015,32.241
19790601,0.333,21.066,36.848
19790602,0,20.657,35.472
19790603,0,20.231,37.258
19790604,0,22.899,37.545
19790605,0.11,23.827,37.948
19790606,0.021,23.759,36.658
19790607,0.1,23.108,36.159
19790608,0.345,24.483,37.581
19790609,0,23.27,37.161
19790610,0,22.358,41.926
19790611,0,23.75,40.247
19790612,0,22.861,40.951
19790613,0,25.293,40.597
19790614,0,23.146,37.473
19790615,0,20.105,37.792
19790616,0,22.542,38.34
19790617,0,22.943,40.465
19790618,0,24.336,41.628
19790619,0,24.971,38.473
19790620,0,22.556,38.379
19790621,0,23.148,38.572
19790622,0,23.569,40.932
19790623,0,22.117,37.398
19790624,0,19.299,38.203
19790625,0,22.954,39.406
19790626,0,24.077,39.412
19790627,0,21.388,39.204
19790628,0,21.535,40.304
19790629,0,22.917,41.165
19790630,0,23.251,42.125
19790701,0,25.326,42.447
19790702,0,20.949,39.478
19790703,0,22.991,41.888
19790704,0,23.679,39.616
19790705,0,24.938,39.545
19790706,0,25.422,41.135
19790707,0,20.901,37.761
19790708,0,21.221,38.421
19790709,0,21.423,38.402
19790710,0,20.922,40.612
19790711,0,19.376,40.449
19790712,0,19.837,42.848
19790713,0,22.401,42.133
19790714,0,25.163,44.138
19790715,0,25.899,43.815
19790716,0,25.373,41.596
19790717,0,22.416,42.127
19790718,0,22.968,40.974
19790719,0,23.006,42.748
19790720,0,23.765,45.46
19790721,0,25.896,45.151
19790722,0,26.889,44.202
19790723,0,27.231,44.774
19790724,0,27.04,44.995
19790725,0,26.477,43.41
19790726,0,23.504,42.691
19790727,0,25.278,43.433
19790728,0,25.415,43.794
19790729,0,25.381,43.629
19790730,0,23.98,41.989
19790731,0,19.848,39.864
19790801,0,24.949,43.353
19790802,0,26.894,43.891
19790803,0,27.488,44.502
19790804,0,26.018,44.011
19790805,0,26.134,42.588
19790806,0,25.329,43.067
19790807,0,24.553,43.45
19790808,0,25.924,43.388
19790809,0,26.33,43.075
19790810,0,23.187,41.229
19790811,0,24.169,41.555
19790812,0,23.549,41.868
19790813,0,25.247,41.927
19790814,0,24.026,41.957
19790815,0,22.665,40.376
19790816,0,22.73,41.079
19790817,0,22.432,38.478
19790818,0,19.587,37.409
19790819,0,20.952,40.507
19790820,0,28.267,44.788
19790821,0,29.982,48.18
19790822,0,30.209,48.485
19790823,0,28.541,44.246
19790824,0,29.386,44.747
19790825,0,27.679,44.724
19790826,0,26.803,43.064
19790827,0,27.344,41.922
19790828,0,25.077,44.029
19790829,0,28.393,43.335
19790830,0,26.508,43.213
19790831,0,27.074,42.763
19790901,0,26.921,43.169
19790902,0,27.451,44.821
19790903,0,29.545,48.865
19790904,0,28.313,46.528
19790905,0,26.928,43.765
19790906,0,27.187,42.24
19790907,0,24.67,41.209
19790908,0,26.001,41.807
19790909,0,27.137,39.964
19790910,0,26.444,41.606
19790911,0,25.943,42.725
19790912,0,28.119,43.344
19790913,0,25.988,41.899
19790914,0,21.711,39.813
19790915,0,22.072,39.828
19790916,0,24.867,36.966
19790917,0,24.492,38.828
19790918,0,25.628,38.551
19790919,0,22.995,37.161
19790920,0,17.525,35.856
19790921,0,21.159,37.421
19790922,0,23.022,38.779
19790923,0,23.547,39.717
19790924,0,24.026,40.016
19790925,0,23.938,39.117
19790926,0,24.03,38.578
19790927,0.077,24.695,37.937
19790928,0.062,23.966,39.255
19790929,0,22.462,37.438
19790930,0,21.496,36.513
19791001,0,21.226,36.886
19791002,0,22.99,35.899
19791003,0,22.496,35.131
19791004,4.534,21.228,29.673
19791005,0.055,19.96,29.223
19791006,3.505,19.694,30.303
19791007,0,16.862,28.528
19791008,0,15.153,30.603
19791009,0,18.012,35.336
19791010,0.045,22.329,29.013
19791011,0,21.737,31.409
19791012,0.021,20.333,34.904
19791013,0.096,23.281,33.958
19791014,0.086,23.316,34.406
