date	prec	tmax	tmin
19700101	2.7	25.1	21.6
19700102	0	26.9	19.4
19700103	0	27.2	18.9
19700104	0	27.5	18
19700105	0	27.1	17.5
19700106	0	27.1	19
19700107	0	27.6	20.1
19700108	0	28.2	20.9
19700109	0	27.9	20.1
19700110	0	28	20.1
19700111	0	28	19
19700112	0	28.2	19.4
19700113	0	28.2	19.3
19700114	0	28.1	19
19700115	0	28	18.9
19700116	0	28.7	19.4
19700117	0	27.9	19.8
19700118	0	28.7	21.1
19700119	0	28.5	23.8
19700120	0	28.8	22.7
19700121	0	28.6	21.8
19700122	0	30.1	22.4
19700123	0	29.6	21.3
19700124	0	29.2	20.9
19700125	0	29.7	21.9
19700126	0	29.7	21.4
19700127	0	29.5	21.4
19700128	0	29.8	21.1
19700129	0	30.3	21.1
19700130	0	28.6	22.9
19700131	0.1	28.3	20.6
19700201	0	29.4	19.5
19700202	0	29.1	19.9
19700203	0	28.7	20.4
19700204	0	28.5	20
19700205	0	28.8	22.8
19700206	0	28.7	20.6
19700207	0	28.5	22.4
19700208	0	28.6	20.8
19700209	0	29.3	21.2
19700210	0	28.7	21.1
19700211	0	29.3	21.1
19700212	0	29.5	21.3
19700213	0	29.5	20.1
19700214	0	29.6	19.9
19700215	0	29.4	20.2
19700216	0	29.5	20.4
19700217	0	29.4	19.2
19700218	0	29.5	19.8
19700219	0	29.8	24
19700220	0.6	29.2	21.6
19700221	0	31	23.9
19700222	0	30.5	23.6
19700223	0	33.5	24.4
19700224	0	31.8	23.4
19700225	0	31.4	22.5
19700226	0	31.3	21.5
19700227	0	31.3	20.1
19700228	0	30.6	19.9
19700301	0	29.9	20.5
19700302	0	30.6	20.3
19700303	0	31.3	20.8
19700304	0	31.5	22.6
19700305	0.5	32	24.4
19700306	1.2	33.3	24.1
19700307	0	32	25.1
19700308	0	31.3	22.8
19700309	0	30.5	21.2
19700310	0	30.6	23.8
19700311	0	31.5	23.9
19700312	0	32.5	23.9
19700313	0	32.6	23.8
19700314	0	33	23.5
19700315	0	32	23.3
19700316	0	31.8	22
19700317	0	32	23.1
19700318	0	34.4	23.5
19700319	0	35.3	22.4
19700320	0	35.3	22.1
19700321	0	33.8	22.4
19700322	0	33.2	22.7
19700323	0	31.9	24.3
19700324	0	31.8	23.6
19700325	0	32.4	24.5
19700326	0	32.8	24.6
19700327	0	32.5	24.3
19700328	0	33.3	24.3
19700329	0	32.9	24.3
19700330	0	32	25
19700331	0	33.9	25.8
19700401	0	35.5	27.3
19700402	0	34	27.1
19700403	0	32.7	27.2
19700404	0.5	32.3	27
19700405	0	32	27.3
19700406	0	32.6	25.2
19700407	0	33.7	25.9
19700408	0	32.5	25
19700409	0	32.8	25.1
19700410	0	33.2	25.9
19700411	0	33.5	26.6
19700412	0	33.5	26.1
19700413	0	32.5	26.5
19700414	3.1	32.4	25.3
19700415	0.5	31.9	26.1
19700416	0	32.9	24.9
19700417	0	34	25.8
19700418	0	34.8	26.5
19700419	0	34	26.3
19700420	0	33.5	26.7
19700421	0	34	26.4
19700422	0	33.6	26.9
19700423	0	33.7	27.1
19700424	0	33.6	27.4
19700425	0	33.8	27.2
19700426	0	33.8	27.3
19700427	0	34.2	27.9
19700428	0	34.4	28.3
19700429	0	34.3	27.2
19700430	0	34.3	27.5
19700501	0	35.5	28.1
19700502	0	36.9	28.5
19700503	0	34.6	28.4
19700504	0	34.4	28.3
19700505	0	37.4	28.2
19700506	0	39.6	28.4
19700507	0	41.3	27.4
19700508	0	40.4	29
19700509	0	37.6	27.9
19700510	0.9	33.7	23.7
19700511	0	33.6	26.5
19700512	0	34	27.7
19700513	0	35.8	28.2
19700514	0	40	29.5
19700515	0	40.3	29.5
19700516	0	40.7	30.2
19700517	0.1	40.7	28.8
19700518	0	40.6	27
19700519	0	40.5	29.5
19700520	0	40.4	29.1
19700521	0	39.9	28.6
19700522	0	40.9	26
19700523	0	35.6	27.7
19700524	0	36.7	27.2
19700525	0	36.8	28.1
19700526	0	34.2	27.7
19700527	0	33.3	27.9
19700528	0	36.6	28.6
19700529	0	33.6	27.3
19700530	0	37.4	27.6
19700531	0	34.2	28.5
19700601	27.8	36.3	22.5
19700602	0	34.7	26.6
19700603	10.4	35.2	25.8
19700604	2.2	35.1	25.1
19700605	0	33.6	26.3
19700606	0	35.5	26.6
19700607	0	34.4	27.7
19700608	0	37.8	28.6
19700609	0	36.7	29.2
19700610	0	35.6	28.8
19700611	0	35.6	27.9
19700612	0	37.6	28.2
19700613	0	37.8	28.9
19700614	3.6	38.4	27.8
19700615	0	35.8	28.5
19700616	0	36.6	28.2
19700617	0	37.3	28.2
19700618	0	36.5	28.4
19700619	0.6	37.8	28.1
19700620	0	38.7	28.2
19700621	0	38.5	26.5
19700622	0	32.7	27.3
19700623	7.8	35.2	24.5
19700624	0	33.1	26.4
19700625	0	35.2	28
19700626	0	33.8	27.8
19700627	0	33.5	27.6
19700628	0	33.3	27.8
19700629	1.2	35.4	24.6
19700630	0	34.5	27.1
19700701	0	35.6	27.3
19700702	0	36.7	27.7
19700703	50	37	22.2
19700704	5.8	33.5	24.7
19700705	0	30.8	26.8
19700706	0	31.3	26.5
19700707	0	36.5	27.1
19700708	0	35.8	26.9
19700709	0	35.8	27.6
19700710	1.9	35.6	25.5
19700711	0.1	36.5	27.2
19700712	4.4	37.1	27.4
19700713	41.2	36.4	22.9
19700714	4.6	32.5	24.3
19700715	11.5	33.5	24.9
19700716	0	34	24.9
19700717	18	33.7	23.3
19700718	1.5	32.5	25.1
19700719	1	33.7	26.3
19700720	1.7	33.6	26.2
19700721	1.3	34.6	25.3
19700722	9.5	34.3	22.9
19700723	4.2	30.1	24.5
19700724	0	32.4	25.2
19700725	0	33.8	25.6
19700726	0	34.5	27.2
19700727	0.4	31.2	25
19700728	0	31.8	25.4
19700729	38.6	33.3	23.3
19700730	0	33.9	25.8
19700731	0.6	33.3	23.9
19700801	5.4	33.8	24.4
19700802	0	33.5	25.3
19700803	0.5	34.5	25.6
19700804	15.2	32.3	23.1
19700805	1	31.8	24.7
19700806	12.4	32.3	23.1
19700807	0	30.4	24.7
19700808	0	33.5	25.7
19700809	0.8	33.9	24.1
19700810	0	32.3	25.5
19700811	0.4	33.2	24.7
19700812	0.4	29.9	24.6
19700813	2.8	28.9	23.4
19700814	3.7	29.2	24.2
19700815	1.7	31	23.7
19700816	0	31.3	25.9
19700817	0	29.3	24.8
19700818	2	31	25.3
19700819	7.7	33	24.1
19700820	0.4	33.8	25.5
19700821	0.2	33	26.1
19700822	9.4	31.1	23.1
19700823	0	32.5	25.5
19700824	0	35.3	25.3
19700825	19.3	35.3	24.2
19700826	0	34.5	24.3
19700827	0	34.5	25.9
19700828	39.6	33.4	24
19700829	11.6	33.4	24.2
19700830	0	33.7	26
19700831	14	34.6	22.3
19700901	0	32.8	26.2
19700902	0	34.1	26
19700903	0	32.8	26.3
19700904	0	34.6	26.3
19700905	0	34.9	26.3
19700906	0	34.1	26.3
19700907	0	35.1	25.5
19700908	10.4	34.9	23.2
19700909	0	33.7	24.8
19700910	0	33.4	24.7
19700911	0	35	25.7
19700912	0	34.5	26.8
19700913	0	34.5	26.9
19700914	0	33.2	25.6
19700915	0	32.5	26.4
19700916	6.4	34	24.5
19700917	0	31.1	24.4
19700918	0	33.6	25.8
19700919	0	33.6	26.5
19700920	8.4	33	23.7
19700921	0.6	29.4	23.5
19700922	7.6	31.7	23.6
19700923	9.2	32	21.9
19700924	11	32.3	23.4
19700925	0	30	24.2
19700926	13.5	33.4	23.2
19700927	0	32.4	23.4
19700928	0	33	25
19700929	0	34.1	25.7
19700930	0	34.7	26.4
19701001	5.6	31.1	25.4
19701002	0	33.5	25.4
19701003	0	33.7	26.3
19701004	0	33.8	24.5
19701005	0	34.4	24.4
19701006	4.6	34.1	24.7
19701007	0	32.1	24.5
19701008	11.7	30.9	24.3
19701009	11.2	28.3	23.2
19701010	30.8	27.5	23.6
19701011	1.4	29	25.8
19701012	0	30.9	25.1
19701013	0	30.6	25.5
