Date	prec	tmin	tmax
19810101	0	13.8136	31.9175
19810102	0	14.1513	32.0228
19810103	0	14.603	30.7643
19810104	0	15.0315	31.5087
19810105	0	15.7117	32.7423
19810106	0	15.8071	30.361
19810107	0	14.1369	31.5191
19810108	0	14.2317	31.96
19810109	0	14.6885	32.618
19810110	0	15.74	31.1976
19810111	0	16.2369	31.7844
19810112	0	13.626	30.3966
19810113	0	14.0511	29.7116
19810114	0	13.4538	31.4453
19810115	0	15.4267	34.2923
19810116	0	17.4696	33.4267
19810117	0	15.6368	32.0773
19810118	0	18.4	32
19810119	0	17.2	31.7
19810120	0	18.5	32.3
19810121	0	17.8	32.2
19810122	0	20	30.5
19810123	0	20.2	32.4
19810124	0	19.4	32.9
19810125	0	19	33.8
19810126	0	18.8	34.7
19810127	0	21.2	34.2
19810128	0	22.6	33.5
19810129	2.1	19.3	33.3
19810130	0	19.6	31.9
19810131	0	19.1	34.4
19810201	0	18.8	34.6
19810202	0	19.9	34.3
19810203	0	19.3	32.6
19810204	0	18.3	32.8
19810205	0	18.7	32.5
19810206	0	20.3	33.2
19810207	0	19.8	33.2
19810208	0	18.8	34.3
19810209	0	19.6	32.7
19810210	0	19.4	33.3
19810211	0	19.8	33.4
19810212	0	19	32.4
19810213	0	19	32.9
19810214	0	21.1	33.7
19810215	0	20.9	34.6
19810216	0	24.3	33.9
19810217	0	22.6	34
19810218	0	21.6	34.8
19810219	1.7	21.9	34.7
19810220	0	24.2	34
19810221	9	22.8	32.6
19810222	0.4	23.7	32.4
19810223	6.9	24.6	31
19810224	0	23.4	29.1
19810225	0	21.8	32
19810226	0	24	32.1
19810227	0	22.9	32.7
19810228	0.6	25.2	34
19810301	0	22.8	34.4
19810302	0	24	33.6
19810303	0	24.3	33.3
19810304	0	21.9	33
19810305	0	23.4	34.1
19810306	0	20.4	32.4
19810307	0	21.9	33
19810308	0	23	33
19810309	0	22.3	32
19810310	0	19.7	32.4
19810311	0	19.6	32.1
19810312	0	19.3	32.8
19810313	0	18.2	33.8
19810314	0	19.6	32.4
19810315	0	18.1	32.5
19810316	0	17.8	32.4
19810317	0	17.7	32.9
19810318	0	17.1	33.3
19810319	0	18.8	34
19810320	0	18.4	33.7
19810321	0	17.9	33
19810322	0	16.1	33
19810323	0	17.1	33.6
19810324	0	16.8	35.3
19810325	0	18.7	33.4
19810326	0	17.9	31.9
19810327	0	16.1	33.7
19810328	0	18.8	34
19810329	0	18.7	32.6
19810330	0	19.4	32.2
19810331	0	22	33
19810401	0	19.8	33.4
19810402	0	20.1	33.5
19810403	0	23.2	32.6
19810404	4.8	21	32.6
19810405	0.8	21.9	24.5
19810406	21.8	20.2	32.2
19810407	0	20.7	31
19810408	0.5	20.5	29.4
19810409	0	22.2	30.5
19810410	0	22.3	32.6
19810411	0	22.3	33.4
19810412	0	22.2	32.3
19810413	0.2	22.6	28.8
19810414	0	22.5	26.6
19810415	3.2	21.6	30.6
19810416	14	21.7	29.9
19810417	17.7	21.7	28.8
19810418	0	21.1	27.6
19810419	0.8	22.1	30.5
19810420	2.4	21.7	28.6
19810421	37.7	21.3	29.5
19810422	0.2	21.2	30.6
19810423	69	21.1	29.5
19810424	0	21.5	30.1
19810425	2.6	21.4	31.7
19810426	7.6	22.9	31.8
19810427	2.7	23.1	30
19810428	9	21.2	29.6
19810429	0.1	21.7	30
19810430	2.4	21.1	30.2
19810501	7.5	22.3	27.6
19810502	0.7	21.4	29.3
19810503	0	21.4	30.6
19810504	11	20.9	31.6
19810505	0.1	21.3	30.4
19810506	0	21.9	26.9
19810507	43.2	21.5	29.4
19810508	0	22.1	30.2
19810509	6.5	20.9	29.5
19810510	0.5	21.3	29.8
19810511	0	20.6	30.6
19810512	0	21.8	30.2
19810513	3.1	21.4	30.6
19810514	0	21.7	30.4
19810515	2	21.4	31.5
19810516	0	22.2	31.9
19810517	0	22.2	31.4
19810518	19.5	21.6	30
19810519	3.7	21.3	30.8
19810520	0	21	29.8
19810521	0.2	20.9	30.1
19810522	0	21.7	31.7
