Date,prec,tmin,tmax,tmean,srad
19810101,0,13.8136,31.9175,22.86555,17.0978
19810102,0,14.1513,32.0228,23.08705,15.3652
19810103,0,14.603,30.7643,22.68365,17.7321
19810104,0,15.0315,31.5087,23.2701,13.3633
19810105,0,15.7117,32.7423,24.227,18.1105
19810106,0,15.8071,30.361,23.08405,14.7947
19810107,0,14.1369,31.5191,22.828,19.0614
19810108,0,14.2317,31.96,23.09585,17.0019
19810109,0,14.6885,32.618,23.65325,16.9011
19810110,0,15.74,31.1976,23.4688,16.9978
19810111,0,16.2369,31.7844,24.01065,14.9346
19810112,0,13.626,30.3966,22.0113,14.0804
19810113,0,14.0511,29.7116,21.88135,15.466
19810114,0,13.4538,31.4453,22.44955,19.909
19810115,0,15.4267,34.2923,24.8595,18.6399
19810116,0,17.4696,33.4267,25.44815,13.8652
19810117,0,15.6368,32.0773,23.85705,15.0243
19810118,0,18.4,32,25.2,18
19810119,0,17.2,31.7,24.45,18
19810120,0,18.5,32.3,25.4,18
19810121,0,17.8,32.2,25,16
19810122,0,20,30.5,25.25,14
19810123,0,20.2,32.4,26.3,17
19810124,0,19.4,32.9,26.15,18
19810125,0,19,33.8,26.4,18
19810126,0,18.8,34.7,26.75,18
19810127,0,21.2,34.2,27.7,18
19810128,0,22.6,33.5,28.05,17
19810129,2.1,19.3,33.3,26.3,18
19810130,0,19.6,31.9,25.75,15
19810131,0,19.1,34.4,26.75,19
19810201,0,18.8,34.6,26.7,17
19810202,0,19.9,34.3,27.1,18
19810203,0,19.3,32.6,25.95,18
19810204,0,18.3,32.8,25.55,18
19810205,0,18.7,32.5,25.6,18
19810206,0,20.3,33.2,26.75,18
19810207,0,19.8,33.2,26.5,19
19810208,0,18.8,34.3,26.55,19
19810209,0,19.6,32.7,26.15,17
19810210,0,19.4,33.3,26.35,19
19810211,0,19.8,33.4,26.6,19
19810212,0,19,32.4,25.7,20
19810213,0,19,32.9,25.95,20
19810214,0,21.1,33.7,27.4,20
19810215,0,20.9,34.6,27.75,20
19810216,0,24.3,33.9,29.1,14
19810217,0,22.6,34,28.3,16
19810218,0,21.6,34.8,28.2,17
19810219,1.7,21.9,34.7,28.3,19
19810220,0,24.2,34,29.1,18
19810221,9,22.8,32.6,27.7,17
19810222,0.4,23.7,32.4,28.05,15
19810223,6.9,24.6,31,27.8,12
19810224,0,23.4,29.1,26.25,11
19810225,0,21.8,32,26.9,14
19810226,0,24,32.1,28.05,12
19810227,0,22.9,32.7,27.8,15
19810228,0.6,25.2,34,29.6,15
19810301,0,22.8,34.4,28.6,19
19810302,0,24,33.6,28.8,16
19810303,0,24.3,33.3,28.8,20
19810304,0,21.9,33,27.45,19
19810305,0,23.4,34.1,28.75,20
19810306,0,20.4,32.4,26.4,17
19810307,0,21.9,33,27.45,19
19810308,0,23,33,28,20
19810309,0,22.3,32,27.15,18
19810310,0,19.7,32.4,26.05,18
19810311,0,19.6,32.1,25.85,15
19810312,0,19.3,32.8,26.05,19
19810313,0,18.2,33.8,26,21
19810314,0,19.6,32.4,26,20
19810315,0,18.1,32.5,25.3,21
19810316,0,17.8,32.4,25.1,21
19810317,0,17.7,32.9,25.3,21
19810318,0,17.1,33.3,25.2,21
19810319,0,18.8,34,26.4,21
19810320,0,18.4,33.7,26.05,21
19810321,0,17.9,33,25.45,21
19810322,0,16.1,33,24.55,21
19810323,0,17.1,33.6,25.35,22
19810324,0,16.8,35.3,26.05,21
