1990          Temperature for DADELDHURA              
        Tmax  Tmin
     1  15.2   5.0 
     2  13.2   4.6 
     3  12.7   3.4 
     4  14.1   5.5 
     5  13.9   5.2 
     6  14.8   6.0 
     7  12.5   7.4 
     8  15.2   5.6 
     9  15.9   6.5 
    10  15.5   8.0 
    11  16.5  10.0 
    12  15.6   6.5 
    13  15.6   8.4 
    14  15.2   7.7 
    15  17.5   7.5 
    16  17.4   9.0 
    17  18.8  10.2 
    18  19.2  10.4 
    19  19.9  12.0 
    20  22.2  14.2 
    21  19.2  10.2 
    22  17.9  10.0 
    23  19.0   9.5 
    24  20.6  10.0 
    25  19.4   9.8 
    26  19.4   8.6 
    27  15.9   9.4 
    28  13.5   7.9 
    29  16.9   6.4 
    30  16.5   9.0 
    31  16.6   8.0 
    32  15.5   6.5 
    33  14.2   5.5 
    34  16.6   6.5 
    35  16.2   8.5 
    36  15.5   4.6 
    37  15.3   6.0 
    38  14.2   6.2 
    39   8.2   5.5 
    40  15.6   4.5 
    41  14.5   7.5 
    42  13.7   4.5 
    43  14.0   7.5 
    44   6.7   5.5 
    45  11.0   3.5 
    46  11.6   3.5 
    47  13.2   4.5 
    48  11.6   5.5 
    49   4.0   0.5 
    50  10.6   0.5 
    51   5.2   1.5 
    52  12.6   2.3 
    53  13.9   4.0 
    54  10.7   3.6 
    55   9.6   2.9 
    56   7.4   3.2 
    57  11.6   2.5 
    58   8.3   4.6 
    59   6.0   3.4 
    60   8.7   0.6 
    61  12.0   2.6 
    62  13.6   2.9 
    63  14.6   3.5 
    64  13.2   4.0 
    65  14.0   4.2 
    66  15.5   6.5 
    67  15.0   6.5 
    68  15.8   6.9 
    69  15.5   4.9 
    70  13.5   6.0 
    71  15.5   6.0 
    72  16.7   7.4 
    73  16.3   8.0 
    74  17.8   8.5 
    75  18.5   9.8 
    76  19.0  10.0 
    77  19.4   8.5 
    78  19.9   8.5 
    79  20.0  11.0 
    80  17.4  10.0 
    81   8.4   5.5 
    82  11.5   5.5 
    83  12.0   4.3 
    84  14.8   3.5 
    85  15.5   5.5 
    86   7.0   5.0 
    87   6.3   2.5 
    88  14.6   2.0 
    89  17.5   5.5 
    90  12.5   5.5 
    91  15.0   5.5 
    92  15.5   5.5 
    93  16.2   5.5 
    94  16.9   5.5 
    95  17.4   8.4 
    96  17.5   9.0 
    97  18.9   8.9 
    98  20.3  10.5 
    99  21.4  11.0 
   100  23.4  12.0 
   101  23.6  14.4 
   102  24.6  15.0 
   103  16.9  13.0 
   104  21.7  10.4 
   105  23.8  12.0 
   106  23.4  14.8 
   107  24.9  14.8 
   108  26.5  16.5 
   109  25.5  16.0 
   110  26.4  15.5 
   111  25.5  15.0 
   112  26.6  16.4 
   113  26.5  15.5 
   114  27.6  17.2 
   115  26.0  15.5 
   116  25.9  15.7 
   117  23.6  10.5 
   118  16.2   8.7 
   119  22.9   9.2 
   120  20.9   8.1 
   121  21.5   7.4 
   122  21.9  14.5 
   123  21.9  13.5 
   124  19.2  12.6 
   125  17.9   9.6 
   126  18.6  10.2 
   127  21.9  11.5 
   128  23.4  14.4 
   129  24.6  15.8 
   130  21.5  12.0 
   131  23.4  16.0 
   132  20.9  14.4 
   133  23.9  14.9 
   134  24.6  15.6 
   135  24.6  17.5 
   136  24.3  15.0 
   137  23.7  16.0 
   138  24.1  13.6 
   139  22.4  12.0 
   140  24.3  13.5 
   141  23.7  15.3 
   142  24.0  12.5 
   143  24.5  15.5 
   144  23.3  13.0 
   145  23.7  15.0 
   146  22.2  14.5 
   147  26.5  14.4 
   148  26.6  18.2 
   149  24.5  12.5 
   150  23.7  14.2 
   151  25.2  14.0 
   152  26.5  12.3 
   153  27.6  18.0 
   154  26.5  18.0 
   155  27.2  18.5 
   156  27.1  16.0 
   157  27.0  17.5 
   158  26.9  17.3 
   159  27.9  17.9 
   160  28.0  18.2 
   161  27.8  16.5 
   162  26.4  14.5 
   163  26.0  16.0 
   164  27.2  16.5 
   165  26.8  17.6 
   166  25.8  18.0 
   167  23.4  15.5 
   168  21.4  16.5 
   169  25.4  18.0 
   170  25.7  17.4 
   171  25.7  17.2 
   172  25.7  17.5 
   173  23.2  17.3 
   174  23.9  17.5 
   175  25.7  19.4 
   176  27.6  17.5 
   177  27.7  18.5 
   178  20.0  16.5 
   179  25.7  16.8 
   180  23.5  17.5 
   181  26.7  17.0 
   182  22.0  17.5 
   183  24.4  18.0 
   184  24.3  16.5 
   185  23.6  17.4 
   186  21.5  17.5 
   187  22.5  17.5 
   188  23.0  18.0 
   189  22.3  17.4 
   190  18.5  17.5 
   191  18.7  16.4 
   192  22.3  16.8 
   193  25.2  16.5 
   194  25.2  17.4 
   195  20.0  17.0 
   196  23.3  16.7 
   197  23.5  18.4 
   198  23.6  18.0 
   199  23.4  18.0 
   200  23.2  17.6 
   201  23.5  17.2 
   202  23.4  16.6 
   203  21.3  17.6 
   204  21.9  17.2 
   205  24.3  17.6 
   206  24.2  17.6 
   207  24.0  17.5 
   208  21.4  15.8 
   209  19.2  16.4 
   210  21.4  17.0 
   211  23.6  17.5 
   212  23.7  18.2 
   213  22.2  18.2 
   214  25.2  17.2 
   215  24.0  17.5 
   216  22.5  17.0 
   217  21.9  16.5 
   218  23.6  17.0 
   219  21.6  16.5 
   220  22.6  17.4 
   221  22.5  16.8 
   222  21.6  17.4 
   223  23.2  16.7 
   224  23.5  17.6 
   225  17.1  15.7 
   226  19.0  15.5 
   227  21.7  16.8 
   228  23.3  17.5 
   229  24.2  17.0 
   230  23.9  17.0 
   231  20.7  17.5 
   232  25.0  17.8 
   233  25.7  18.6 
   234  23.4  17.5 
   235  25.2  18.0 
   236  24.5  16.6 
   237  23.9  17.3 
   238  24.4  18.0 
   239  20.2  17.5 
   240  23.8  16.8 
   241  22.4  17.0 
   242  24.0  17.4 
   243  24.4  18.8 
   244  25.4  18.4 
   245  23.7  18.0 
   246  24.4  16.7 
   247  19.2  16.0 
   248  22.0  16.6 
   249  22.0  16.3 
   250  21.6  16.5 
   251  22.7  17.0 
   252  23.8  17.4 
   253  23.8  17.0 
   254  22.0  17.5 
   255  22.0  16.9 
   256  22.0  17.2 
   257  21.9  17.0 
   258  23.1  17.0 
   259  22.5  16.9 
   260  23.9  17.0 
   261  22.0  17.0 
   262  21.3  16.2 
   263  21.6  16.0 
   264  23.8  16.4 
   265  22.6  16.1 
   266  23.0  16.5 
   267  23.9  15.9 
   268  21.2  15.5 
   269  21.4  15.0 
   270  21.3  16.3 
   271  23.3  15.0 
   272  21.3  14.9 
   273  21.6  14.3 
   274  20.3  14.4 
   275  21.6  13.6 
   276  22.0  14.0 
   277  21.8  14.6 
   278  21.5  14.5 
   279  22.5  15.2 
   280  24.4  15.0 
   281  24.8  16.5 
   282  21.5  14.0 
   283  21.0  13.3 
   284  21.3  13.4 
   285  20.6  13.0 
   286  15.0   DNA 
   287  18.2  10.6 
   288  18.6  10.8 
   289  19.0  10.3 
   290  19.7  10.0 
   291  20.5  12.0 
   292  19.3  12.2 
   293  18.7  12.5 
   294  21.5  11.4 
   295  18.5   9.8 
   296  18.6   9.1 
   297  18.7   9.3 
   298  18.8   9.3 
   299  18.7   8.5 
   300  17.2   9.0 
   301  17.3   9.5 
   302  17.6   9.5 
   303  19.1   9.7 
   304  17.5   9.1 
   305  18.2   9.4 
   306  18.8   8.3 
   307  19.5  10.0 
   308  18.8  11.0 
   309  19.4   9.7 
   310  18.2   9.0 
   311  18.4   9.5 
   312  18.0   9.2 
   313  18.6   9.0 
   314  20.2  11.0 
   315  20.5  10.8 
   316  19.0  11.2 
   317  19.4  11.4 
   318  19.4  11.8 
   319  21.5  12.0 
   320  20.0  12.0 
   321  19.4  10.0 
   322  16.7   9.4 
   323  20.6   9.4 
   324  14.7  10.1 
   325  15.4   8.0 
   326  14.7   8.0 
   327  15.9   8.0 
   328  16.4   7.0 
   329  16.5   7.4 
   330  16.0   7.9 
   331  16.4   8.0 
   332  16.6   8.2 
   333  20.4   9.5 
   334  19.1  10.2 
   335  16.4   7.4 
   336  16.0   5.2 
   337  15.4   5.6 
   338  14.0   5.8 
   339  16.2   6.2 
   340  15.0   5.6 
   341  15.6   6.6 
   342  13.5   5.6 
   343  13.9   6.6 
   344  14.0   6.5 
   345  14.8   6.6 
   346  15.0   6.6 
   347  15.4   7.5 
   348  16.5   8.2 
   349  13.4   6.0 
   350  14.9   6.0 
   351  14.2   6.4 
   352  15.4   6.2 
   353  15.2   7.6 
   354  15.4   7.5 
   355  15.4   6.9 
   356  18.2   9.0 
   357  16.2   7.4 
   358  16.7   8.0 
   359  15.6   9.6 
   360  17.8   9.8 
   361  16.3   8.2 
   362  13.5   8.0 
   363   9.0   5.2 
   364   2.6  -0.2 
   365   4.4   0.5 

