Date	Preci	MinT	MaxT
1971-01-01	0	18.92	26.97
1971-01-02	0	19.75	28.38
1971-01-03	0	20.35	27.8
1971-01-04	0	21.21	28.42
1971-01-05	3.4	21.61	28.18
1971-01-06	3.8	21.62	26.41
1971-01-07	1.4	21.6	28.61
1971-01-08	0	21.18	29.11
1971-01-09	0.2	21.88	27.41
1971-01-10	12.8	21.5	28.12
1971-01-11	3.4	21.54	28.07
1971-01-12	0	21.79	28.59
1971-01-13	0	21.08	29.34
1971-01-14	0	21.05	28.93
1971-01-15	0	20.52	29.02
1971-01-16	0	20.03	28.85
1971-01-17	0	20.51	29.03
1971-01-18	0	20.69	29.43
1971-01-19	0	20.22	29.26
1971-01-20	0	18.93	29.16
1971-01-21	0	19.78	29.09
1971-01-22	0	21.65	29.72
1971-01-23	0.1	22.29	29.88
1971-01-24	2.6	22.91	29.65
1971-01-25	34	22.26	28.75
1971-01-26	0	22.87	29.41
1971-01-27	3.9	23.06	30.01
1971-01-28	0	23.62	30.84
1971-01-29	0	23.78	30.7
1971-01-30	0	23.94	31.39
1971-01-31	0	23.34	30.96
1971-02-01	0	22.34	30.69
1971-02-02	0	21.76	30.63
1971-02-03	0.2	21.93	30.72
1971-02-04	0	21.54	30.49
1971-02-05	0	20.8	30.79
1971-02-06	0	20.33	30.96
1971-02-07	0	21.22	30.57
1971-02-08	0	20.84	30.67
1971-02-09	0	20.27	30.84
1971-02-10	0	20	30.66
1971-02-11	0	19.64	30.66
1971-02-12	0	19.36	30.66
1971-02-13	0	19.94	30.91
1971-02-14	0	20.69	30.89
1971-02-15	0	21.25	30.7
1971-02-16	0	22.04	30.9
1971-02-17	0	21.81	30.72
1971-02-18	0	20.19	30.49
1971-02-19	0	19.89	30.22
1971-02-20	0	20.89	30.84
1971-02-21	0	22.92	31.44
1971-02-22	0	23.62	32.28
1971-02-23	0	23.42	32.22
1971-02-24	0	23.58	31.52
1971-02-25	0	24.22	32.14
1971-02-26	0	24.17	32.19
1971-02-27	0	24.14	32.09
1971-02-28	19.3	23.43	32.61
1971-03-01	29.6	22.58	30.64
1971-03-02	0	23.96	31.34
1971-03-03	3.1	24.41	30.86
1971-03-04	1.8	23.48	31.75
1971-03-05	5.2	23.74	31.74
1971-03-06	2.3	24.27	32.62
1971-03-07	19.5	24.22	31.44
1971-03-08	0	23.66	31.8
1971-03-09	0.3	23.73	31.96
1971-03-10	5.1	22.42	30.5
1971-03-11	2	23.36	31.23
1971-03-12	0	23.21	32.22
1971-03-13	0	23.4	32.19
1971-03-14	0	23.83	32.31
1971-03-15	0	23.95	32.47
1971-03-16	0	24.59	32.73
1971-03-17	0	24.45	32.92
1971-03-18	0	22.79	32.74
1971-03-19	0	22.97	32.68
1971-03-20	0	23.25	33.11
1971-03-21	0	23.94	33.59
1971-03-22	0	23.97	33.54
1971-03-23	0	23.54	33.13
1971-03-24	0	23.53	33.14
1971-03-25	0	23.61	33.29
1971-03-26	0	23.44	33.2
1971-03-27	0	23	33.24
1971-03-28	0	23.5	33.46
1971-03-29	0	24.75	33.81
1971-03-30	0	25.06	34.16
1971-03-31	0	25.79	34.13
1971-04-01	0	24.98	34.2
1971-04-02	0	25.73	34.19
1971-04-03	0	26.29	34.37
1971-04-04	0	26.68	33.9
1971-04-05	0	25.88	34.32
1971-04-06	0	25.8	35.22
1971-04-07	0	26.01	35.02
1971-04-08	0	25.79	34.86
1971-04-09	0	25.45	35.03
1971-04-10	0	25.33	35.05
1971-04-11	0	25.48	35.04
1971-04-12	0	25.93	35.04
1971-04-13	0	26	34.97
1971-04-14	0	26.14	34.91
1971-04-15	0	26.72	35.28
1971-04-16	2.4	26.41	34.68
1971-04-17	0	24.84	34.72
1971-04-18	0	26.11	34.57
1971-04-19	3	25.7	34.06
1971-04-20	0	26.77	34.81
1971-04-21	0	25.89	34.01
1971-04-22	20.5	25.74	35.16
1971-04-23	23.5	24.85	34.97
1971-04-24	2.8	24.66	32.71
1971-04-25	6.2	25.3	33.7
1971-04-26	0	25.49	34.2
1971-04-27	0	26.37	35.81
1971-04-28	0	26.99	35.51
1971-04-29	0	26.36	35.03
1971-04-30	0	25.54	34.83
1971-05-01	0.5	25.3	34.13
1971-05-02	0	25.89	34.1
1971-05-03	0	26.8	35.89
1971-05-04	0	27.31	36.91
1971-05-05	0	27.23	38.44
1971-05-06	0	26.06	38.86
1971-05-07	0	27.25	38.29
1971-05-08	0	26.76	37.02
1971-05-09	0	26.56	36.08
1971-05-10	0	27.13	36.21
1971-05-11	10.4	26.72	36.15
1971-05-12	0	25.7	35.64
1971-05-13	0	27.16	35.45
1971-05-14	0	27.42	35.31
1971-05-15	3	23.49	35.47
1971-05-16	0	26.23	35.18
1971-05-17	0	27	35.87
1971-05-18	19	24.11	35.23
1971-05-19	1.9	25.47	35.15
1971-05-20	20.7	23.26	36.72
1971-05-21	0	26.16	35.09
1971-05-22	7.6	26.24	36.54
1971-05-23	0	26.08	36.42
1971-05-24	0	26.4	36.35
1971-05-25	0	26.58	37.17
1971-05-26	0	26.26	37.16
1971-05-27	0	25.62	36.19
1971-05-28	0	26.62	36.27
1971-05-29	0.8	25.84	34.61
1971-05-30	0	25.75	35.82
1971-05-31	2.1	26.08	35.51
1971-06-01	0.3	25.85	35.45
1971-06-02	0.7	25.47	33.92
