  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
433570 99999 201701010300 050  13 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   79   61 1014.6 ***** ******  91  73 ***** ***** ***** ***** ** 
433570 99999 201701011200 ***   0 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   90   67 1009.7 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201701020300 110   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   79   68 1016.1 ***** ******  94  67 ***** ***** ***** ***** ** 
433570 99999 201701021200 250   1 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   87   72 1010.9 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201701030300 050   8 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   78   69 1014.5 ***** ******  94  70 ***** ***** ***** ***** ** 
433570 99999 201701040300 140   6 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   78   66 1014.4 ***** ******  94  72 ***** ***** ***** ***** ** 
433570 99999 201701050300 070   9 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   59 1015.1 ***** ******  92  72 ***** ***** ***** ***** ** 
433570 99999 201701051200 050   2 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   85   70 1009.3 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201701070300 050   8 *** *** CLR * * *  2.5 ** ** ** ** ** ** ** ** *   77   66 1012.6 ***** ******  95  72 ***** ***** ***** ***** ** 
433570 99999 201701071200 290   1 *** *** CLR * * *  2.5 ** ** ** ** ** ** ** ** *   86   72 1007.2 ***** ******  95 *** ***** ***** ***** ***** ** 
433570 99999 201701080300 050  11 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   64 1011.9 ***** ******  95  72 ***** ***** ***** ***** ** 
433570 99999 201701090300 070   6 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   78   61 1011.9 ***** ******  95  71 ***** ***** ***** ***** ** 
433570 99999 201701100300 070   6 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   79   68 1013.3 ***** ******  94  69 ***** ***** ***** ***** ** 
433570 99999 201701101200 ***   0 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   85   63 1009.6 ***** ******  94 *** ***** ***** ***** ***** ** 
433570 99999 201701110300 ***   0 *** *** CLR * * *  6.2 ** ** ** ** ** ** ** ** *   77   67 1014.1 ***** ******  94  67 ***** ***** ***** ***** ** 
433570 99999 201701120300 090   5 *** *** BKN * * *  6.2 ** ** ** ** ** ** ** ** *   78   65 1014.1 ***** ******  93  69 ***** ***** ***** ***** ** 
433570 99999 201701130300 050   6 *** *** SCT * * *  6.2 ** ** ** ** ** ** ** ** *   77   68 1012.9 ***** ******  93  69 ***** ***** ***** ***** ** 
