var date value
prec 1990-1 161.1
prec 1990-2 395.3
prec 1990-3 254.5
prec 1990-4 364.7
prec 1990-5 216.6
prec 1990-6 129.3
prec 1990-7 158.1
prec 1990-8 47.4
prec 1990-9 84.8
prec 1990-10 27.1
prec 1990-11 51
prec 1990-12 212
tmin 1990-1 22.4
tmin 1990-2 21.9
tmin 1990-3 22.3
tmin 1990-4 22.7
tmin 1990-5 22.6
tmin 1990-6 22.2
tmin 1990-7 21.4
tmin 1990-8 21.7
tmin 1990-9 22.3
tmin 1990-10 22.8
tmin 1990-11 22.8
tmin 1990-12 22.6
tmax 1990-1 31.1
tmax 1990-2 30.3
tmax 1990-3 30.7
tmax 1990-4 31
tmax 1990-5 31
tmax 1990-6 31.5
tmax 1990-7 31.5
tmax 1990-8 32.3
tmax 1990-9 32.9
tmax 1990-10 33.2
tmax 1990-11 32.7
tmax 1990-12 32.1
prec 1991-1 288.5
prec 1991-2 282.5
prec 1991-3 311.1
prec 1991-4 288
prec 1991-5 220.6
prec 1991-6 226.8
prec 1991-7 69.9
prec 1991-8 93.5
prec 1991-9 38.4
prec 1991-10 25.7
prec 1991-11 16
prec 1991-12 39.5
tmin 1991-1 21.9
tmin 1991-2 22.4
tmin 1991-3 22.3
tmin 1991-4 22.4
tmin 1991-5 22.4
tmin 1991-6 22.3
tmin 1991-7 21.5
tmin 1991-8 21.5
tmin 1991-9 22.1
tmin 1991-10 22
tmin 1991-11 22.8
tmin 1991-12 22.7
tmax 1991-1 30.6
tmax 1991-2 30.8
tmax 1991-3 30.7
tmax 1991-4 30.7
tmax 1991-5 30.8
tmax 1991-6 31.6
tmax 1991-7 31.6
tmax 1991-8 32.1
tmax 1991-9 32.7
tmax 1991-10 32.4
tmax 1991-11 32.7
tmax 1991-12 32.2
prec 1992-1 50.1
prec 1992-2 218.3
prec 1992-3 263.4
prec 1992-4 177
prec 1992-5 89.9
prec 1992-6 107.3
prec 1992-7 77.7
prec 1992-8 24.3
prec 1992-9 6.8
prec 1992-10 1.7
prec 1992-11 44.8
prec 1992-12 76.5
tmin 1992-1 22.3
tmin 1992-2 21.9
tmin 1992-3 22.2
tmin 1992-4 22.7
tmin 1992-5 23
tmin 1992-6 22.1
tmin 1992-7 21.4
tmin 1992-8 21.7
tmin 1992-9 22
tmin 1992-10 22.4
tmin 1992-11 22.3
tmin 1992-12 22.2
tmax 1992-1 31
tmax 1992-2 30.3
tmax 1992-3 30.6
tmax 1992-4 31
