date value
1994-1 182.9
1994-2 121.3
1994-3 118.9
1994-4 58.1
1994-5 57.2
1994-6 120
1994-7 42.5
1994-8 0
1994-9 54.4
1994-10 159.8
1994-11 90.3
1994-12 382.3
1995-1 133.9
1995-2 121
1995-3 117.6
1995-4 45.5
1995-5 86.1
1995-6 36.2
1995-7 0
1995-8 0
1995-9 105.3
1995-10 93.3
1995-11 172.7
1995-12 187.9
1996-1 295.9
1996-2 131.3
1996-3 135.6
1996-4 28.6
1996-5 57
1996-6 0
1996-7 0
1996-8 22.7
1996-9 99.5
1996-10 87.9
1996-11 99.6
1996-12 93.7
1997-1 210.7
1997-2 160.7
1997-3 81
1997-4 68.9
1997-5 59.9
1997-6 121.4
1997-7 0
1997-8 66.1
1997-9 56.3
1997-10 88.5
1997-11 115.2
1997-12 154.1
1998-1 209.2
1998-2 182.4
1998-3 163.1
1998-4 77.8
1998-5 62.4
1998-6 0
1998-7 0
1998-8 89.9
1998-9 113.3
1998-10 164.5
1998-11 214.8
1998-12 232.3
1999-1 146.5
1999-2 209.9
1999-3 155.5
1999-4 35.3
1999-5 28.5
1999-6 55.1
1999-7 0
1999-8 0
1999-9 37.2
1999-10 82.9
1999-11 66.1
1999-12 160.1
2000-1 155.2
2000-2 184.3
2000-3 196.4
2000-4 88.7
2000-5 24.2
2000-6 33.2
2000-7 137.4
2000-8 72
2000-9 23.7
2000-10 101.7
2000-11 180.3
2000-12 133.2
