date value
2007-01-1 0
2007-01-2 6.6
2007-01-3 6.6
2007-01-4 0
2007-01-5 0
2007-01-6 11
2007-01-7 7.3
2007-01-8 0
2007-01-9 0
2007-01-10 0
2007-01-11 26.7
2007-01-12 0
2007-01-13 0
2007-01-14 13.3
2007-01-15 0
2007-01-16 17.9
2007-01-17 0
2007-01-18 0
2007-01-19 4.5
2007-01-20 22.4
2007-01-21 0
2007-01-22 0
2007-01-23 0
2007-01-24 17.2
2007-01-25 8.6
2007-01-26 0
2007-01-27 27.5
2007-01-28 27.5
2007-01-29 0
2007-01-30 0
2007-01-31 0
2007-02-1 34.9
2007-02-2 0
2007-02-3 0
2007-02-4 0
2007-02-5 0
2007-02-6 0
2007-02-7 0
2007-02-8 0
2007-02-9 0
2007-02-10 44.2
2007-02-11 0
2007-02-12 0
2007-02-13 12.7
2007-02-14 0
2007-02-15 38.1
2007-02-16 0
2007-02-17 16.9
2007-02-18 0
2007-02-19 0
2007-02-20 0
2007-02-21 0
2007-02-22 0
2007-02-23 0
2007-02-24 0
2007-02-25 0
2007-02-26 0
2007-02-27 0
2007-02-28 14
2007-03-1 0
2007-03-2 13.5
2007-03-3 0
2007-03-4 0
2007-03-5 0
2007-03-6 0
2007-03-7 3.5
2007-03-8 3.5
2007-03-9 10.4
2007-03-10 6.9
2007-03-11 0
2007-03-12 0
2007-03-13 0
2007-03-14 7.7
2007-03-15 30.8
2007-03-16 0
2007-03-17 0
2007-03-18 0
2007-03-19 0
2007-03-20 0
2007-03-21 0
2007-03-22 0
2007-03-23 0
2007-03-24 4.4
2007-03-25 13.1
2007-03-26 0
2007-03-27 0
2007-03-28 3.6
2007-03-29 7.2
2007-03-30 3.6
2007-03-31 3.6
2007-04-1 0
2007-04-2 13.6
2007-04-3 0
2007-04-4 0
2007-04-5 0
2007-04-6 0
2007-04-7 0
2007-04-8 0
2007-04-9 0
2007-04-10 0
2007-04-11 0
2007-04-12 0
2007-04-13 0
2007-04-14 0
2007-04-15 0
2007-04-16 0
2007-04-17 0
2007-04-18 0
2007-04-19 0
2007-04-20 0
2007-04-21 0
2007-04-22 0
2007-04-23 0
2007-04-24 0
2007-04-25 0
2007-04-26 29
2007-04-27 0
2007-04-28 0
2007-04-29 0
2007-04-30 0
2007-05-1 0
2007-05-2 0
2007-05-3 0
2007-05-4 0
2007-05-5 0
2007-05-6 0
2007-05-7 3
2007-05-8 0
2007-05-9 0
2007-05-10 6
2007-05-11 0
2007-05-12 0
2007-05-13 0
2007-05-14 0
2007-05-15 0
2007-05-16 0
2007-05-17 0
2007-05-18 0
2007-05-19 0
2007-05-20 0
2007-05-21 0
2007-05-22 0
2007-05-23 0
2007-05-24 0
2007-05-25 0
2007-05-26 0
2007-05-27 0
2007-05-28 0
2007-05-29 0
2007-05-30 0
2007-05-31 8.7
