Date	Value
20140826	29.399999576
20140827	0
20140828	30.799999909
20140829	5.400000051
20140830	0.200000003
20140831	15.000000105
20140901	3.200000078
20140902	1.400000021
20140903	13.199999929
20140904	14.399999812
20140905	3.600000098
20140906	0.800000012
20140907	0.200000003
20140908	21.399999679
20140909	0.800000012
20140910	2.400000051
20140911	14.399999947
20140912	8.00000012
20140913	0.800000012
20140914	0
20140915	10.599999905
20140916	3.799999967
20140917	23.000000254
20140918	10.600000159
20140919	1.400000036
20140920	2.800000101
20140921	18.200000257
20140922	0.800000012
20140923	5.799999818
20140924	19.4000002
20140925	1.800000042
20140926	5.600000054
20140927	6.600000009
20140928	0.200000003
20140929	2.599999964
20140930	3.599999935
20141001	1.000000015
20141002	7.600000039
20141003	9.800000086
20141004	30.999999674
20141005	67.20000008
20141006	4.800000087
20141007	0
20141008	3.600000039
20141009	36.200000423
20141010	26.000000298
20141011	2.800000072
20141012	0
20141013	0.400000006
20141014	0
20141015	0
20141016	0
20141017	0
20141018	0
20141019	0
20141020	0
20141021	0
20141022	0
20141023	0
20141024	0
20141025	0
20141026	0.200000003
20141027	0.200000003
20141028	0
20141029	0
20141030	0
20141031	0
20141101	0
20141102	0
20141103	0
20141104	0
20141105	0
20141106	0
20141107	0
20141108	0
20141109	0
20141110	0
20141111	0
20141112	0
20141113	0.800000012
20141114	0
20141115	0
20141116	0.200000003
20141117	0
20141118	0
20141119	0
20141120	0
20141121	0
20141122	0
20141123	0
20141124	1.200000033
20141125	14.000000298
20141126	2.800000057
20141127	0
20141128	0
20141129	0
20141130	0
20141201	0
20141202	0
20141203	0
20141204	0
20141205	0
20141206	2.800000101
20141207	1.000000015
20141208	0
20141209	0
20141210	0
20141211	0
20141212	0
20141213	0
20141214	0
20141215	0
20141216	0
20141217	0
20141218	0
20141219	0
20141220	0
20141221	0
20141222	0
20141223	0
20141224	0
20141225	0
20141226	0
20141227	0
20141228	0
20141229	0
20141230	0
20141231	0
20150101	0
20150102	0
20150103	0
20150104	0
20150105	0
20150106	0
20150107	0
20150108	0
20150109	0
20150110	0
20150111	0
20150112	0
20150113	0.400000006
20150114	0
20150115	0
20150116	0
20150117	0
20150118	0
20150119	0
20150120	0
20150121	2.799999952
20150122	0
20150123	0
20150124	0
20150125	0
20150126	0
20150127	0
20150128	0
20150129	0
20150130	0
20150131	0
20150201	0
20150202	0
20150203	0
20150204	0
20150205	0
20150206	0
20150207	0
20150208	0
20150209	0
20150210	0
20150211	0
20150212	0
20150213	0
20150214	0
20150215	0
20150216	0
20150217	3.000000045
20150218	0
20150219	0
20150220	0.200000003
20150221	0
20150222	0
20150223	0
20150224	0
20150225	0
20150226	0
20150227	0
20150228	0
20150301	0
20150302	0
20150303	0
20150304	0
20150305	0
