Date	Value
20141009	15.19999981
20141010	15.39999962
20141011	15.69999981
20141012	15.30000019
20141013	14.60000038
20141014	14.5
20141015	17.29999924
20141016	15.89999962
20141017	16.10000038
20141018	15.30000019
20141019	14.80000019
20141020	17.39999962
20141021	17
20141022	16
20141023	15.60000038
20141024	15.80000019
20141025	16.89999962
20141026	16.79999924
20141027	15.89999962
20141028	17.70000076
20141029	17.10000038
20141030	18.10000038
20141031	17.60000038
20141101	16.70000076
20141102	17
20141103	18.10000038
20141104	17.29999924
20141105	17
20141106	16.39999962
20141107	17.79999924
20141108	16.20000076
20141109	14.30000019
20141110	14.39999962
20141111	14.69999981
20141112	14.30000019
20141113	15.30000019
20141114	13.19999981
20141115	13.60000038
20141116	15.80000019
20141117	15.10000038
20141118	15.39999962
20141119	14.19999981
20141120	14.80000019
20141121	15.69999981
20141122	16.79999924
20141123	17.29999924
20141124	17
20141125	17.10000038
20141126	12
20141127	14.5
20141128	15.80000019
20141129	12.30000019
20141130	14
20141201	12.5
20141202	11.30000019
20141203	12.10000038
20141204	12.60000038
20141205	14.19999981
20141206	14.69999981
20141207	14.69999981
20141208	15.69999981
20141209	15.39999962
20141210	15.80000019
20141211	14.5
20141212	15.60000038
20141213	16.29999924
20141214	16.79999924
