Date	Value
20141009	9.199999809
20141010	9
20141011	9.399999619
20141012	8.600000381
20141013	7.800000191
20141014	8
20141015	7.5
20141016	5.300000191
20141017	6.800000191
20141018	7.900000095
20141019	8.399999619
20141020	7.400000095
20141021	8.399999619
20141022	7.199999809
20141023	8.100000381
20141024	5.699999809
20141025	5.099999905
20141026	5.699999809
20141027	6.699999809
20141028	5.800000191
20141029	6.5
20141030	5.800000191
20141031	6
20141101	6.400000095
20141102	5.699999809
20141103	6.099999905
20141104	6.5
20141105	6.699999809
20141106	6.699999809
20141107	6
20141108	6.400000095
20141109	5.699999809
20141110	7.300000191
20141111	5.900000095
20141112	5.099999905
20141113	6.300000191
20141114	7.900000095
20141115	8.5
20141116	7.099999905
20141117	7.800000191
20141118	8.300000191
20141119	7.900000095
20141120	7
20141121	5.5
20141122	8
20141123	7.900000095
20141124	7.599999905
20141125	7.900000095
20141126	9.300000191
20141127	7.199999809
20141128	7.900000095
20141129	9.100000381
20141130	7.599999905
20141201	6.599999905
20141202	6.900000095
20141203	5.599999905
20141204	5.699999809
20141205	5.699999809
20141206	6
20141207	6.199999809
20141208	6.900000095
20141209	7.900000095
20141210	7.300000191
20141211	6.199999809
20141212	6.099999905
20141213	6.199999809
