Date	Value
20050101	5.3
20050102	6.5
20050103	8
20050104	7.9
20050105	8.5
20050106	NA
20050107	NA
20050108	NA
20050109	1.4
20050110	1.2
20050111	5.2
20050112	6.2
20050113	3
20050114	3.6
20050115	NA
20050116	1.6
20050117	1.3
20050118	8.5
20050119	9.9
20050120	6.7
20050121	4.8
20050122	8.9
20050123	6.7
20050124	2.2
20050125	1.7
20050126	5.5
20050127	2.8
20050128	4.1
20050129	7.1
20050130	6.9
20050131	5
20050201	7.6
20050202	5.9
20050203	2.7
20050204	1.2
20050205	NA
20050206	0.3
20050207	0.6
20050208	0.8
20050209	1.8
20050210	0.1
20050211	0
20050212	0.2
20050213	4.1
20050214	6.8
20050215	8.2
20050216	5.7
20050217	7.1
20050218	7.9
20050219	3.9
20050220	4
20050221	7.2
20050222	7.2
20050223	5.4
20050224	4.5
20050225	2.3
20050226	2.4
20050227	3
20050228	6.7
20050301	5.2
20050302	6.1
20050303	1.5
20050304	2.5
20050305	2.1
20050306	3.8
20050307	5.3
20050308	0.6
20050309	7.7
20050310	1.9
20050311	8.4
20050312	2
20050313	5
20050314	7.5
20050315	7.8
20050316	6.8
20050317	3.5
20050318	6.2
20050319	1.4
20050320	3.6
20050321	5.5
20050322	4.4
20050323	3.6
20050324	2.1
20050325	6.1
20050326	5.6
20050327	7.7
20050328	6.3
20050329	5.6
20050330	1.7
20050331	4.8
20050401	6.5
20050402	4.8
20050403	5
20050404	NA
20050405	2.8
20050406	2.6
20050407	6
20050408	6.9
20050409	2.7
20050410	4.7
20050411	1.6
20050412	6.9
20050413	5.3
20050414	0.7
20050415	2.9
20050416	NA
20050417	1.4
20050418	1
20050419	2.4
20050420	0.4
20050421	2.6
20050422	4.6
20050423	7.1
20050424	9.6
20050425	7.9
20050426	7
20050427	2.5
20050428	4.3
20050429	1.5
20050430	4.4
20050501	5.2
20050502	2.3
20050503	NA
20050504	10.5
20050505	5.8
20050506	2.4
20050507	6.3
20050508	5.7
20050509	4.5
20050510	4
20050511	1.9
20050512	1
20050513	4.1
20050514	0
20050515	1.8
20050516	7.9
20050517	7.6
20050518	NA
20050519	0.3
20050520	8.4
20050521	5.6
20050522	3.6
20050523	1
20050524	8.7
20050525	3.1
20050526	2.9
20050527	5.2
20050528	4
20050529	6.6
20050530	2.5
20050531	5.7
20050601	3.1
20050602	0
20050603	4.4
20050604	3.3
20050605	0.9
20050606	1.5
20050607	6.4
20050608	1.9
20050609	6
20050610	0.1
20050611	3.6
20050612	5.8
20050613	3.8
20050614	4.4
20050615	5.1
20050616	3.5
20050617	3.8
20050618	3.6
20050619	0.2
20050620	4
20050621	2.5
20050622	3.9
20050623	3.1
20050624	3.2
20050625	1.6
20050626	3.5
20050627	3.9
20050628	2.9
20050629	1
20050630	2.8
20050701	0.6
20050702	5.8
20050703	4.1
20050704	4.4
20050705	6.8
20050706	6.2
20050707	6.9
20050708	6.6
20050709	4.5
20050710	3.7
20050711	6.9
20050712	4.8
20050713	1.4
20050714	5.4
20050715	3.7
20050716	4.9
20050717	5.5
20050718	5.7
20050719	1.6
20050720	4.7
20050721	7.7
