Date	Value
19830130	32.5
19830131	28.4
19830201	NA
19830202	NA
19830203	NA
19830204	NA
19830205	NA
19830206	NA
19830207	NA
19830208	NA
19830209	NA
19830210	NA
19830211	NA
19830212	NA
19830213	NA
19830214	NA
19830215	NA
19830216	NA
19830217	NA
19830218	NA
19830219	NA
19830220	NA
19830221	NA
19830222	NA
19830223	NA
19830224	NA
19830225	NA
19830226	NA
19830227	NA
19830228	NA
19830301	NA
19830302	NA
19830303	NA
19830304	NA
19830305	NA
19830306	NA
19830307	NA
19830308	NA
19830309	NA
19830310	NA
19830311	NA
19830312	NA
19830313	NA
19830314	NA
19830315	NA
19830316	NA
19830317	NA
19830318	NA
19830319	NA
19830320	NA
19830321	NA
19830322	NA
19830323	NA
19830324	NA
19830325	NA
19830326	NA
19830327	NA
19830328	NA
19830329	NA
19830330	NA
19830331	NA
19830401	NA
19830402	NA
19830403	NA
19830404	NA
19830405	NA
19830406	NA
19830407	NA
19830408	NA
19830409	NA
19830410	NA
19830411	NA
19830412	NA
19830413	NA
19830414	NA
19830415	NA
19830416	NA
19830417	NA
19830418	NA
19830419	NA
19830420	NA
19830421	NA
19830422	NA
19830423	NA
19830424	NA
19830425	NA
19830426	NA
19830427	NA
19830428	NA
19830429	NA
19830430	NA
19830501	NA
19830502	NA
19830503	NA
19830504	NA
19830505	NA
19830506	NA
19830507	NA
19830508	NA
19830509	NA
19830510	NA
19830511	NA
19830512	NA
19830513	NA
19830514	NA
19830515	NA
19830516	NA
19830517	NA
19830518	NA
19830519	NA
19830520	NA
19830521	NA
19830522	NA
19830523	NA
19830524	NA
19830525	NA
19830526	NA
19830527	NA
19830528	NA
19830529	NA
19830530	NA
19830531	NA
19830601	NA
19830602	NA
19830603	NA
19830604	NA
19830605	NA
19830606	NA
19830607	NA
19830608	NA
19830609	NA
19830610	NA
19830611	NA
19830612	NA
19830613	NA
19830614	NA
19830615	NA
19830616	NA
19830617	NA
19830618	NA
19830619	NA
19830620	NA
19830621	NA
19830622	NA
19830623	NA
19830624	NA
19830625	NA
19830626	NA
19830627	NA
19830628	NA
19830629	NA
19830630	NA
19830701	NA
19830702	NA
19830703	NA
19830704	NA
19830705	NA
19830706	NA
19830707	NA
19830708	NA
19830709	NA
19830710	NA
19830711	NA
19830712	NA
19830713	NA
19830714	NA
19830715	NA
19830716	NA
19830717	NA
19830718	NA
19830719	NA
19830720	NA
19830721	NA
19830722	NA
19830723	NA
19830724	NA
19830725	NA
19830726	NA
19830727	NA
19830728	NA
19830729	NA
19830730	NA
19830731	NA
19830801	NA
19830802	NA
19830803	NA
19830804	NA
19830805	NA
19830806	NA
19830807	NA
19830808	NA
19830809	NA
19830810	NA
19830811	NA
19830812	NA
19830813	NA
19830814	NA
19830815	NA
19830816	NA
19830817	NA
19830818	NA
19830819	NA
19830820	NA
19830821	NA
19830822	NA
19830823	NA
19830824	NA
19830825	NA
19830826	NA
19830827	NA
19830828	NA
19830829	NA
19830830	NA
19830831	NA
19830901	NA
19830902	NA
19830903	NA
19830904	NA
19830905	NA
19830906	NA
19830907	NA
19830908	NA
19830909	NA
19830910	NA
19830911	NA
19830912	NA
19830913	NA
19830914	NA
19830915	NA
19830916	NA
19830917	NA
19830918	NA
19830919	NA
19830920	NA
19830921	NA
19830922	NA
19830923	NA
19830924	NA
19830925	NA
19830926	NA
19830927	NA
19830928	NA
19830929	NA
19830930	NA
19831001	NA
19831002	NA
19831003	NA
19831004	NA
19831005	NA
19831006	NA
19831007	NA
19831008	NA
19831009	NA
19831010	NA
19831011	NA
19831012	NA
19831013	NA
19831014	NA
19831015	NA
19831016	NA
19831017	NA
19831018	NA
19831019	NA
19831020	NA
19831021	NA
19831022	NA
19831023	NA
19831024	NA
19831025	NA
19831026	NA
19831027	NA
19831028	NA
19831029	NA
19831030	NA
19831031	NA
19831101	NA
19831102	NA
19831103	NA
19831104	NA
19831105	NA
19831106	NA
19831107	NA
19831108	NA
19831109	NA
