Date	Value
19790610	26.9
19790611	27.6
19790612	25.7
19790613	27.1
19790614	24.7
19790615	25
19790616	24.4
19790617	25.9
19790618	28.2
19790619	27.3
19790620	27.9
19790621	26.1
19790622	27.4
19790623	26.1
19790624	28.2
19790625	27.7
19790626	28.5
19790627	29.6
19790628	26.1
19790629	27.1
19790630	NA
19790701	26.8
19790702	26.3
19790703	28.5
19790704	25.2
19790705	27
19790706	28.4
19790707	28.2
19790708	29.1
19790709	27.7
19790710	28
19790711	25.8
19790712	25
19790713	24.7
19790714	24.8
19790715	25.1
19790716	27.6
19790717	27.5
19790718	26.2
19790719	26.9
19790720	28
19790721	NA
19790722	26.3
19790723	31.2
19790724	28.8
19790725	NA
19790726	NA
19790727	NA
19790728	NA
19790729	NA
19790730	NA
19790731	NA
19790801	26.8
19790802	26.3
19790803	NA
19790804	25.2
19790805	27
19790806	28.4
19790807	28.2
19790808	NA
19790809	27.7
19790810	NA
19790811	NA
19790812	25
19790813	25.8
19790814	27.5
19790815	27.6
19790816	24.2
19790817	27
19790818	NA
19790819	NA
19790820	NA
19790821	NA
19790822	25.4
19790823	NA
19790824	28.1
19790825	25.3
19790826	25.5
19790827	25.8
19790828	26.7
19790829	26.8
19790830	26
19790831	28.1
19790901	26.4
19790902	NA
19790903	26.8
19790904	NA
19790905	NA
19790906	NA
19790907	27.3
19790908	25.4
19790909	25.8
19790910	26.2
19790911	25.7
19790912	26.1
19790913	26.9
19790914	26.4
19790915	26.2
19790916	NA
19790917	27.1
19790918	25.6
19790919	26.4
19790920	26.3
19790921	26.4
19790922	27.3
19790923	26.9
19790924	26.6
19790925	27.6
19790926	26.6
19790927	NA
19790928	27.6
19790929	26.8
19790930	27.5
19791001	NA
19791002	NA
19791003	26.6
19791004	26.1
19791005	25.4
19791006	26.2
19791007	26.1
19791008	25.7
19791009	26.5
19791010	26.8
19791011	27.1
19791012	26.4
19791013	26.5
19791014	NA
19791015	NA
19791016	NA
19791017	27.1
19791018	25.4
19791019	27.3
19791020	NA
19791021	26.6
19791022	25.6
19791023	NA
19791024	26.5
19791025	NA
19791026	26.1
19791027	NA
19791028	26.1
19791029	25.3
19791030	NA
19791031	NA
19791101	26.6
19791102	26.5
19791103	26.1
19791104	25.9
19791105	27.2
19791106	26.7
19791107	27.6
19791108	28.4
19791109	27
19791110	26.7
19791111	25.1
19791112	25.6
19791113	26
19791114	25.7
19791115	27
19791116	26.6
19791117	26.3
19791118	27.6
19791119	27.1
19791120	27.6
19791121	26.9
19791122	25.9
19791123	26.2
19791124	26.4
19791125	25.8
19791126	26.3
19791127	26.4
19791128	27.3
19791129	27.7
19791130	25.2
19791201	25.9
19791202	27.6
19791203	27.7
19791204	26.9
19791205	27.1
19791206	27.6
19791207	27.7
19791208	28.1
19791209	27.6
19791210	27.2
19791211	27.5
19791212	27
19791213	27.3
19791214	24.6
19791215	25.7
19791216	NA
19791217	25.1
19791218	25.4
19791219	25.3
19791220	24.5
19791221	24.1
19791222	22.9
19791223	24.6
19791224	25.6
19791225	26.1
19791226	NA
19791227	26
19791228	26
19791229	26.8
19791230	25.9
19791231	26.5
19800101	NA
19800102	NA
19800103	NA
19800104	NA
19800105	NA
19800106	NA
19800107	NA
19800108	NA
19800109	NA
19800110	NA
19800111	NA
19800112	NA
19800113	NA
19800114	NA
19800115	NA
19800116	NA
19800117	NA
19800118	NA
19800119	NA
19800120	NA
19800121	NA
19800122	NA
19800123	NA
19800124	NA
19800125	NA
19800126	NA
19800127	NA
19800128	NA
19800129	NA
19800130	NA
19800131	NA
19800201	NA
19800202	NA
19800203	NA
19800204	NA
19800205	NA
19800206	NA
19800207	NA
19800208	NA
19800209	NA
19800210	NA
19800211	NA
19800212	NA
