Date	Value
20150322	0
20150323	0
20150324	0
20150325	0
20150326	0
20150327	0
20150328	0
20150329	0
20150330	0
20150331	0
20150401	0.2
20150402	0.4
20150403	0.2
20150404	1.6
20150405	1.2
20150406	0.4
20150407	0
20150408	0
20150409	2.4
20150410	0
20150411	0
20150412	0
20150413	0
20150414	0
20150415	0.8
20150416	0
20150417	0
20150418	1
20150419	0
20150420	0
20150421	0
20150422	0
20150423	0
20150424	0
20150425	0
20150426	0
20150427	0
20150428	0
20150429	0
20150430	0
20150501	10.6
20150502	2.8
20150503	0.2
20150504	0.4
20150505	0
20150506	0
20150507	0
20150508	0
20150509	0
20150510	3
20150511	0.4
20150512	8.2
20150513	0.2
20150514	0.6
20150515	2.8
20150516	0
20150517	11.6
20150518	0
20150519	0
20150520	0
20150521	4.6
20150522	11.4
20150523	0.2
20150524	0.2
20150525	0
20150526	0
20150527	0
20150528	2.4
20150529	0
20150530	0.4
20150531	5.8
20150601	1.8
20150602	0
20150603	1.8
20150604	5.4
20150605	3.6
20150606	12.4
20150607	12
20150608	8.8
20150609	2
20150610	52.2
20150611	62.2
20150612	35
20150613	14.4
20150614	2.6
20150615	0.8
20150616	4.8
20150617	1.6
20150618	10.8
20150619	2.6
20150620	3.6
20150621	0
20150622	0
20150623	1
20150624	12.4
20150625	3.8
20150626	2
20150627	0
20150628	11.6
20150629	7.6
