Date	Value
20150331	26.8
20150401	27.5
20150402	27.3
20150403	28.3
20150404	27.8
20150405	27.6
20150406	27.6
20150407	27.3
20150408	28.2
20150409	27.5
20150410	28.3
20150411	28.8
20150412	29.3
20150413	30.8
20150414	28.7
20150415	30.1
20150416	30.1
20150417	30.2
20150418	27.8
20150419	31.4
20150420	31.7
20150421	31.6
20150422	30.5
20150423	31.4
20150424	31.7
20150425	31.2
20150426	31.3
20150427	33.2
20150428	34.2
20150429	34.7
20150430	27.8
20150501	29.1
20150502	28.8
20150503	26.7
20150504	26
20150505	27.1
20150506	29.4
20150507	29.3
20150508	28.7
20150509	28.1
20150510	28.9
20150511	26.4
20150512	27
20150513	25.3
20150514	30.1
20150515	28.1
20150516	28.4
20150517	26.9
20150518	25.6
20150519	29
20150520	29
20150521	29.1
20150522	27.2
20150523	25.1
20150524	26.9
20150525	26.1
20150526	26.8
20150527	26.9
20150528	29.2
20150529	30.2
20150530	29.8
20150531	26.2
20150601	28.3
20150602	30.1
20150603	30.3
20150604	27.7
20150605	28.1
20150606	29.4
20150607	23.6
20150612	25.8
20150613	27.4
20150614	26.5
20150620	27.2
20150621	24.9
20150622	28.6
20150623	27.8
20150624	24.7
20150628	24.3
20150629	26.6
20150702	27
20150703	26.9
20150707	26.8
20150708	25.2
20150713	27.7
20150714	27.4
20150715	27.4
20150716	25.7
20150720	25.8
20150721	26.1
20150725	27.1
20150726	26.4
20150730	26.3
20150731	26.6
20150804	26.9
20150807	27.8
20150808	28.6
20150809	27.1
20150810	25.8
20150815	26.6
20150816	23.3
20150819	28.7
20150820	26.7
20150821	27.4
20150822	26.7
20150823	28.2
20150824	27.9
20150825	27.8
20150826	28
20150829	27.9
20150830	29.3
20150831	29
20150901	28
20150902	26.8
20150905	25.1
20150906	26.6
20150907	27.8
20150909	25.3
20150910	25.2
20150911	28.6
20150912	29.3
20150913	26.5
20150914	27.1
20150915	29.3
20150916	28.8
20150917	29.2
20150918	28.2
20150919	29
20150920	29.9
20150921	28.7
20150922	26.8
20150923	25.9
20150924	25.1
20150925	25.7
20150926	27.4
20150927	29.5
20150928	29
20150929	29.6
20150930	30
20151001	30.3
20151002	31.7
20151003	29.7
20151004	27.3
20151005	27.1
20151006	27.2
20151007	28.1
20151008	24.8
20151009	27.8
20151010	28.3
20151011	27.5
20151012	27.7
20151013	27.4
20151014	26.6
20151015	27
20151016	25.5
20151018	27.9
20151019	27.5
20151020	27.2
20151021	27.9
20151022	27.1
20151023	28.9
20151024	27.8
20151025	29.1
20151026	29.8
20151027	28.7
20151028	29.2
20151029	28.9
20151030	29.1
20151031	29.1
20151101	29.4
20151102	28.4
20151103	28.1
20151104	28.6
20151105	29.2
20151106	27
20151107	25.7
20151108	27.2
20151109	24.8
20151110	25.3
20151111	24.5
20151112	24.5
20151113	24.1
20151114	23.7
20151115	25.2
20151116	24.7
20151117	25.5
20151118	26.6
20151119	25.4
20151120	22.9
20151121	21.9
20151122	26.9
20151123	22.2
20151124	24.4
20151125	25.9
20151126	25
20151129	25.1
20151130	26.3
20151201	25.3
20151202	22.7
20151203	28.1
20151204	27.5
20151205	22.3
20151207	26.9
20151208	26.3
20151209	27.3
20151210	25.7
20151211	25.6
20151212	22.9
20151215	27.9
20151216	27.8
20151217	27.3
20160110	26.2
