Date	Value
20150331	17.9
20150401	17.9
20150402	18
20150403	18.3
20150404	17.9
20150405	18.1
20150406	17.6
20150407	17.8
20150408	18.2
20150409	17.9
20150410	16.8
20150411	17.9
20150412	17.9
20150413	19.4
20150414	18.2
20150415	18.3
20150416	18.7
20150417	18.2
20150418	17.6
20150419	18.4
20150420	18.8
20150421	18.5
20150422	20.1
20150423	19.3
20150424	18.9
20150425	18.4
20150426	17.2
20150427	18.2
20150428	20.3
20150429	21.2
20150430	18.8
20150501	19.2
20150502	19.4
20150503	19.2
20150504	18.6
20150505	18.6
20150506	18.9
20150507	19.7
20150508	19.7
20150509	19.3
20150510	18.8
20150511	19.1
20150512	19.2
20150513	19
20150514	18.9
20150515	18.8
20150516	18.1
20150517	18.5
20150518	18.4
20150519	18.4
20150520	18.3
20150521	18.8
20150522	18.4
20150523	18.9
20150524	18.1
20150525	18.1
20150526	17.2
20150527	18.7
20150528	18.6
20150529	18.7
20150530	18.9
20150531	18.7
20150601	19.1
20150602	19.6
20150603	21.1
20150604	19.6
20150605	18.9
20150606	19.1
20150607	18.7
20150612	18.4
20150613	18.7
20150614	18.8
20150620	20
20150621	19.4
20150622	18.9
20150623	18.8
20150628	19.3
20150629	18.9
20150702	19.3
20150703	19.3
20150707	18.7
20150708	18.6
20150713	18.9
20150714	18.4
20150715	17.1
20150720	18.2
20150721	18.9
20150725	19.3
20150726	18.7
20150730	18.9
20150731	18.7
20150804	18.9
20150807	18.8
20150808	19.7
20150809	18.5
20150810	18.7
20150815	18.2
20150816	19.1
20150820	19.4
20150821	19.4
20150822	18.5
20150823	19.4
20150824	18.9
20150825	18.6
20150826	18.6
20150829	19.6
20150830	18.3
20150831	19.5
20150901	19.6
20150902	18.7
20150905	18.7
20150906	19.1
20150907	19.3
20150910	18.4
20150911	19
20150912	18.6
20150913	19
20150914	19.6
20150915	19.8
20150916	19.8
20150917	19.5
20150918	19.2
20150919	18.8
20150920	20.1
20150921	19.2
20150922	18.5
20150923	17.9
20150924	17.4
20150925	19.6
20150926	19.8
20150927	19.8
20150928	19.8
20150929	20.4
20150930	20
20151001	19.1
20151002	19.3
20151003	18.7
20151004	19.6
20151005	19.9
20151006	19.9
20151007	19.6
20151008	19
20151009	19.3
20151010	18.4
20151011	19.4
20151012	19.2
20151013	19.3
20151014	19.5
20151015	19.6
20151016	19.8
20151017	19.4
20151018	19.6
20151019	19.3
20151020	19.9
20151021	19.9
20151022	19.7
20151023	19.5
20151024	19.9
20151025	18.8
20151026	19.7
20151027	19.8
20151028	19.9
20151029	20.1
20151030	20.1
20151031	19.8
20151101	19.6
20151102	20.2
20151103	19.6
20151104	18
20151105	19.2
20151106	19.5
20151107	18.8
20151108	18.9
20151109	19
20151110	19.6
20151111	18.9
20151112	17.8
20151113	18.9
20151114	19.1
20151115	18.7
20151116	18.7
20151117	19
20151118	19.3
20151119	19.3
20151120	18.9
20151121	18.1
20151122	17.6
20151123	18.2
20151124	18.2
20151125	18.6
20151129	16.9
20151130	15.7
20151201	17
20151202	17.9
20151204	19.1
20151205	19.3
20151207	18.9
20151208	18.2
20151209	17.2
20151210	17.2
20151211	18.5
20151215	18.7
20151216	17.6
20151217	18.8
20151218	18.4
20151229	18.9
20160110	17.6
20160111	18.3
