Date	Value
20150222	24.9
20150223	25.5
20150224	24.4
20150225	26.3
20150226	26.4
20150227	25.5
20150228	24.7
20150301	24.2
20150302	22
20150303	23.9
20150304	24.5
20150305	25.1
20150306	24.6
20150307	23.3
20150308	22.7
20150309	25.4
20150310	24.7
20150311	23.4
20150312	26.2
20150313	25.1
20150314	24.3
20150315	24.5
20150316	24.8
20150317	23.2
20150318	24.4
20150319	24.9
20150320	26.1
20150321	25.9
20150322	26.2
20150323	26.7
20150324	26.4
20150325	27.4
20150326	27.6
20150327	28.1
20150328	27.3
20150329	26.6
20150330	27.1
20150331	26.4
20150401	24.6
20150402	24.5
20150403	26.4
20150404	25.4
20150405	24.9
20150406	24.8
20150407	25.6
20150408	26.2
20150409	26.3
20150410	26
20150411	26.2
20150412	27.4
20150413	28.3
20150414	28.2
20150415	28.1
20150416	26.9
20150417	27.1
20150418	25.7
20150419	28.8
20150420	29.5
20150421	29.2
20150422	28.9
20150423	29.1
20150424	28.7
20150425	28.4
20150426	30.2
20150427	29
20150428	29.8
20150429	29.8
20150430	23.6
20150501	27
20150502	26.8
20150503	26.6
20150504	26.2
20150505	25.2
20150506	25.9
20150507	26.8
20150508	26.4
20150509	26.4
20150510	26.6
20150511	26.2
20150512	26.9
20150513	25.3
20150514	26.4
20150515	25.1
20150516	25.6
20150517	25.4
20150518	25.1
20150519	25.9
20150520	27.3
20150521	28
20150522	25.2
20150523	24.6
20150524	24.8
20150525	24.5
20150526	26.3
20150527	26.1
20150528	26.7
20150529	26.2
20150530	27.2
20150531	26.9
20150601	26.8
20150602	27.8
20150603	27.4
20150604	24.3
20150605	25.1
20150606	27
20150607	24.1
20150608	22.1
20150609	23.7
20150610	23.2
20150611	23.1
20150612	24.9
20150613	25.1
20150614	25.6
20150615	24.4
20150616	24
20150617	24.6
20150618	25.5
20150619	24.4
20150620	25.1
20150621	23.3
20150622	24.4
20150623	24.3
20150624	24.1
20150625	24.3
20150626	24
20150627	24.6
20150628	24.5
20150629	24.6
20150630	24
20150701	22.5
20150702	24.4
20150703	24.6
20150704	23.1
20150705	24.4
20150706	23.7
20150707	24.5
20150708	24.9
20150709	21.1
20150710	20.9
20150711	23.4
20150712	24.1
20150713	24.8
20150714	25.9
20150715	24.1
20150716	24.6
20150717	25.5
20150718	25.8
20150719	24.5
20150720	23.9
20150721	24.7
20150722	24.3
20150723	24.1
20150724	24.3
20150725	24.5
20150726	24.8
20150727	24.3
20150728	23.9
20150729	24.1
20150730	25.2
20150731	25.2
20150801	24.7
20150802	25.4
20150803	25.2
20150804	25.8
20150805	26.2
20150806	25.6
20150807	26
20150808	26.8
20150809	26.8
20150810	26.1
20150811	22.3
20150812	23.1
20150813	23.2
20150814	26.4
20150815	22.7
20150816	23.4
20150817	25.3
20150818	25.7
20150819	26.2
20150820	25.7
20150821	26.1
20150822	24.2
20150823	26.3
20150824	26.4
20150825	26.8
20150826	26.6
20150827	27.2
20150828	27.4
20150829	24.9
20150830	28.1
20150831	28.8
20150901	26.9
20150902	27.1
20150903	24.1
20150904	25.5
20150905	26.3
20150906	25.7
20150907	26.3
20150908	25.8
20150909	26.3
20150910	25.6
20150911	27.7
20150912	27.1
20150913	25.5
20150914	27.4
20150915	27.4
20150916	27.3
20150917	28
20150918	26.1
20150919	25.8
20150920	27.2
20150921	27.5
20150922	24.9
20150923	24.3
20150924	23.7
20150925	24.4
20150926	26
20150927	27.5
20150928	27.3
20150929	26.5
20150930	27
20151001	24.7
20151002	24.3
20151003	23.8
20151004	24.7
20151005	25.8
20151006	25.4
20151007	24.1
20151008	24.6
20151009	25.1
20151010	24.8
20151011	25
20151012	25.5
20151013	25.5
20151014	24.8
20151015	24.8
20151016	24.6
20151017	23.7
20151018	21.7
20151019	24.7
20151020	25.5
20151021	25.3
20151022	25.6
20151023	25.8
20151024	25.1
20151025	25.9
20151026	26
20151027	26
20151028	26.5
20151029	26.6
20151030	26
20151031	25.3
20151101	26.1
20151102	26.5
20151103	26.1
20151104	24.8
20151105	25.1
20151106	25.8
20151107	24
20151108	24.3
20151109	23.6
20151110	24.8
20151111	24.8
20151112	24.1
20151113	24
20151114	24.6
20151115	23.4
20151116	23.4
20151117	24.1
20151118	25.2
20151119	24.2
20151120	21.3
20151121	24.4
20151122	22.1
20151123	22.6
20151124	22.8
20151125	22.9
20151126	22.1
20151127	21.2
20151128	22.8
20151129	21
20151130	22.6
20151201	22.7
20151202	22.5
20151203	25.9
20151204	24.9
20151205	22.6
20151206	22.6
20151207	23.4
20151208	22.7
20151209	23.9
20151210	24.1
20151211	22.4
20151212	21.9
20151213	25.1
20151214	26.7
20151215	25.2
20151216	25.9
20151217	25.9
20151218	22.4
20151219	21.7
20151220	22.3
20151221	23.3
20151222	23.6
20151223	24.1
20151224	24.1
20151225	23.6
20151226	22.9
20151227	22.7
20151228	24.8
20151229	25
20151230	24.2
20151231	24.4
20160101	22.7
20160102	23
20160103	23.8
20160104	23.8
20160105	24.3
20160106	23.3
20160107	27.5
20160108	27.9
20160109	26.4
20160110	25.6
20160111	23.8
20160112	24.7
20160113	23.7
