Date	Value
20150331	18.3
20150401	19.9
20150402	15.9
20150403	18.9
20150404	18
20150405	21.1
20150406	19.2
20150407	17.7
20150408	17.9
20150409	15.7
20150410	13.4
20150411	14.4
20150412	16.4
20150413	16.7
20150414	16.8
20150415	18.2
20150416	16.8
20150417	15.4
20150418	15.4
20150419	16.1
20150420	15.9
20150421	16.7
20150422	17.9
20150423	17.1
20150424	14.9
20150425	17.1
20150426	14.7
20150427	15.4
20150428	20.9
20150429	20.3
20150430	19.4
20150501	18.5
20150502	19.9
20150503	20.4
20150504	19.6
20150505	17.7
20150506	16.7
20150507	18.8
20150508	20.4
20150509	19.4
20150510	19.3
20150511	20.5
20150512	19.4
20150513	21.5
20150514	20.1
20150515	19.2
20150516	13.7
20150517	15.1
20150518	18.7
20150519	20.2
20150520	15.5
20150521	17.1
20150522	18.6
20150523	20.4
20150524	18.9
20150525	15.1
20150526	15.3
20150527	14.7
20150528	17.8
20150529	17.7
20150530	15.6
20150531	20.2
20150601	20.7
20150602	19.8
20150603	19.8
20150604	20.3
20150605	20.4
20150606	19.9
20150607	19.7
20150608	20
20150609	19.8
20150610	20.1
20150611	19.4
20150612	19.7
20150613	20.1
20150614	19.6
20150615	18.9
20150616	20.1
20150617	20.7
20150618	20.8
20150619	21.6
20150620	20.7
20150621	18.1
20150622	17.8
20150623	19.6
20150624	21.3
20150625	21.9
20150626	21.1
20150627	20.1
20150628	20.7
20150629	20.8
20150630	20.4
20150701	16.9
20150702	16.5
20150703	21.6
20150704	20.3
20150705	19.4
20150706	19.1
20150707	19.2
20150708	17.2
20150709	18.8
20150710	19.9
20150711	18.9
20150712	18.4
20150713	15.3
20150714	18.7
20150715	18.3
20150716	18.1
20150717	18
20150718	16.2
20150719	17.9
20150720	16.4
20150721	18.5
20150722	16.6
20150723	18.3
20150724	18.6
20150725	19.1
20150726	16.7
20150727	20.2
20150728	19.8
20150729	18.7
20150730	16.5
20150731	18.1
20150801	19.3
20150802	18.3
20150803	18.8
20150804	20.3
20150805	21.1
20150806	19.1
20150807	15.9
20150808	15.6
20150809	17.1
20150810	17.7
20150811	19.5
20150812	18.6
20150813	18.8
20150814	19.1
20150815	19.5
20150816	18.8
20150817	18.2
20150818	15.2
20150819	13.5
20150820	16.6
20150821	15.2
20150822	18.6
20150823	19.8
20150824	19.5
20150825	14.8
20150826	18.8
20150827	19.7
20150828	18.4
20150829	20
20150830	16.4
20150831	18.6
20150901	18.6
20150902	18.6
20150903	18.4
20150904	18.3
20150905	19
20150906	18.7
20150907	16.7
20150908	15.8
20150909	16.2
20150910	16.6
20150911	17.1
20150912	15.1
20150913	18.6
20150914	19.9
20150915	17.6
20150916	15.4
20150917	16.3
20150918	19
20150919	19.3
20150920	19.2
20150921	18.4
20150922	18
20150923	18.2
20150924	18.6
20150925	19.7
20150926	20.2
20150927	20
20150928	20.2
20150929	18.6
20150930	18.6
20151001	17.8
20151002	18.3
20151003	18.6
20151004	20
20151005	20
20151006	18.7
20151007	17.9
20151008	19
20151009	19.4
20151010	17.4
20151011	19.8
20151012	18.4
20151013	19
20151014	20.2
20151015	20.6
20151016	20.6
20151017	20.1
20151018	20.2
20151019	20.1
20151020	20.1
20151021	19.4
20151022	19
20151023	18.5
20151024	19.1
20151025	16.6
20151026	17.9
20151027	19
20151028	18.8
20151029	18.4
20151030	16.7
20151031	16.8
20151101	17.8
20151102	17.7
20151103	17.8
20151104	16.6
20151105	16.1
20151106	19.7
20151107	19.2
20151108	17.4
20151109	17.1
20151110	18.5
20151111	19.7
20151112	17.9
20151113	17.3
20151114	19.8
20151115	18.7
20151116	19.3
20151117	18.4
20151118	18.6
20151119	18.8
20151120	20.3
20151121	19.8
20151122	17.8
20151123	16.8
20151124	17.6
20151125	16.9
20151126	17.1
20151127	18.3
20151128	18.2
20151129	15.2
20151130	13.3
20151201	15.4
20151202	15.3
20151203	14.4
20151204	15.1
20151205	21.3
20151206	19.9
20151207	19.6
20151208	18.6
20151209	16.6
20151210	14.3
20151211	16.5
20151212	18.4
20151213	17.6
20151214	16.5
20151215	17.9
20151216	17.1
20151217	16.3
20151218	14.9
20151219	19.9
20151220	19.9
20151221	20.7
20151222	16.3
20151223	18.2
20151224	16.8
20151225	17.9
20151226	17.3
20151227	15
20151228	12.8
20151229	15.7
20151230	15.8
20151231	18.4
20160101	18.3
20160102	15.7
20160103	14.1
20160104	13.4
20160105	17.9
20160106	16.1
20160107	15.6
20160108	12.1
20160109	12.1
20160110	17.6
20160111	15.3
20160112	12.6
20160113	16.3
